Warner Bros. Discovery	Product Manager	Remote	PM	ENTRY_LEVEL	$73,150 - $135,850 a year
Home Depot / THD	Product Manager - Remote	Remote in Atlanta, GA	PM	ENTRY_LEVEL	NA	Position Purpose: The Product Manager (PM) position is responsible for delivering business value to drive sales, improve efficiency, and improve customer satisfaction through the production of quality products. Within their designated enterprise product line, PMs focus on delivering incremental value by driving product changes and working closely with a team of developers, designers, and business partners. They support in-depth business reviews, communicate and present across all levels of the organization, and support cross-functional product teams. Key Responsibilities: 40% Strategy & Planning: Gains a thorough understanding of customer and associate needs, both existing and potential, and uses that knowledge to help deliver enterprise products that provide Home Depot customers and associates with an unparalleled shopping experience Translates business goals and end user needs into product strategy; communicates direction and product priorities to the development team, other matrixed teams, and third-party partners Identifies goals, metrics, and analytics to determine product value; continually making recommendations and refinements to the product backlog based on learnings Conduct end user research to help identify user stories and help determine Minimum Viable Product (MVP) Partners with Finance to understand financial needs and assists in the creation of business plans for new opportunities Monitors research as well as the competitive landscape to recommend the best solutions and ensure that products remain or become best in class Evaluates research and market analysis on industry innovations and technology platforms to recommend the best possible solution 30% Delivery & Execution: Ensure product is aligned with company, stakeholder and end-user priorities to drive sales, improve efficiency, and improve customer satisfaction Documents, reviews and ensures that all quality and change control standards are met Formulates, tests and refines assumptions and hypotheses through user research and testing Creates, prioritizes and accepts user stories; incorporate them into release planning Makes product decisions that drive value on a daily basis Identifies pros, cons, issues, obstacles, dependencies and value associated with features and enhancements Participates in standups, iteration planning sessions, product demos and retrospectives Condenses complex technical concepts into non-technical language for stakeholders 30% People: Fosters collaboration with team members (Engineering, User Experience Designers, etc.) to drive value and collectively identify and resolve impediments Acts as a proponent of modern software development practices Advocates for the end user and stakeholder by empathizing with and understanding user needs and becoming the domain expert Regularly works with the product team to continuously assess progress, disseminate lessons learned, and understand next steps Manages cross functional team and stakeholder expectations to execute on product strategy; provides education to requestors to determine prioritization based on tangible benefits and/or user experience Exhibit active listening, facilitate sessions, and clearly communicate at all levels (Executive Leadership Team, store associates, etc.) and in all formats the product's long term strategy which is used to prioritize short-term action Direct Manager/Direct Reports: Typically reports to the Product Management Manager or Sr. Manager. Travel Requirements: Typically requires overnight travel less than 10% of the time. Physical Requirements: Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles. Working Conditions: Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable. Minimum Qualifications: Must be eighteen years of age or older. Must be legally permitted to work in the United States. Must be legally permitted to work in the United States Preferred Qualifications: 1-3 years of relevant work experience Experience working as a Product Manager in a modern software development based enterprise environment Demonstrated experience with modern software development product management practices and agile methodologies, specifically the extreme programming (XP) principles of paired programming, test driven development, and continuous deployment Experience working in a fast paced, fluid environment where priorities shift on a regular basis Experience communicating with and influencing functional and technical team members at all levels in the organization Experience working as part of a collaborative, cross-functional, modern software design and development team Experience creating, prioritizing and accepting user stories Experience conducting user research and testing to understand needs Experience identifying goals, metrics and analytics to measure product value Experience conducting competitive research and analysis Minimum Education: The knowledge, skills and abilities typically acquired through the completion of a high school diploma and/or GED. Preferred Education: No additional education Minimum Years of Work Experience: 1 Preferred Years of Work Experience: No additional years of experience Minimum Leadership Experience: None Preferred Leadership Experience: None Certifications: None Competencies: Business Insight: Applying knowledge of business and the marketplace to advance the organization's goals Collaborates: Building partnerships and working collaboratively with others to meet shared objectives Communicates Effectively: Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences Cultivates Innovation: Creating new and better ways for the organization to be successful Customer Focus: Building strong customer relationships and delivering customer-centric solutions Drives Results: Consistently achieves results, even under tough circumstances Interpersonal Savvy: Relating openly and comfortably with diverse groups of people Manages Ambiguity: Operating effectively, even when things are not certain or the way forward is not clear Nimble Learning: Actively learning through experimentation when tackling new problems, using both successes and failures as learning fodder Organizational Savvy: Maneuvering comfortably through complex policy, process and people-related organizational dynamics Situational Adaptability: Adapting approach and demeanor in real time to match the shifting demands of different situations Empathy: Understands the needs of multiple stakeholders and is responsive in meeting their needs with the most optimal resolution Plans and Aligns: Planning and prioritizing work to meet commitments aligned with organizational goals
HP	Service Product Manager	Boise, ID 83714 (West Bench area)	PM	ENTRY_LEVEL	NA	Responsibilities:  University students enrolled in a Masters advanced degree program who are working in a technical or non-technical internship role at hp during their study or in summer breaks between university semesters. Education and Experience Required:  Bachelors degree 1st year of Master's program completed. About HP  You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.    So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.    HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.    Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.    From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive! 
HCA Healthcare	Product Analyst	Franklin, TN 37067 (McEwen area)	PM	ENTRY_LEVEL	NA	Introduction Last year our HCA Healthcare colleagues invested over 156,000 hours volunteering in our communities. As a Product Analyst with HCA Healthcare you can be a part of an organization that is devoted to giving back! Benefits HCA Healthcare, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include: Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation. Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more. Free counseling services and resources for emotional, physical and financial wellbeing  401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)  Employee Stock Purchase Plan with 10% off HCA Healthcare stock  Family support through fertility and family building benefits with Progyny and adoption assistance.  Referral services for child, elder and pet care, home and auto repair, event planning and more  Consumer discounts through Abenity and Consumer Discounts  Retirement readiness, rollover assistance services and preferred banking partnerships  Education assistance (tuition, student loan, certification support, dependent scholarships)  Colleague recognition program  Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)  Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income. Learn more about Employee Benefits Note: Eligibility for benefits may vary by location. Would you like to unlock your potential with a leading healthcare provider dedicated to the growth and development of our colleagues? Join the HCA Healthcare family! We will give you the tools and resources you need to succeed in our organization. We are looking for an enthusiastic Product Analyst to help us reach our goals. Unlock your potential! Job Summary and Qualifications JOB SUMMARY The Product Analyst is a position that provides review, analysis of business systems and user needs of applications/products supported by the IT&S REBA Product Development team. The analyst should have an ability to develop analysis skills to recommend system and business process modifications to support business strategies through purchased or in-house developed software. Product Analysts must be able to write description of business goals, user needs, computer program functions, and steps required to develop or modify computer programs with minimal supervision. The position requires an ability to learn and develop detail knowledge of requirements gathering and documentation practices, as well as software development methodologies. This position would support HCA’s Costing, Analytics, and Pricing Services operations, to gather and document use cases and feature requirements. Must work with project team of developers/QA analysts on features, enhancements, and fixes as required. Will serve as 2nd tier escalation point for issues related to system functionality. MAJOR RESPONSIBILITIES Requirement Gathering and Documentation Performs the set of tasks and techniques to understand the business needs of the department\organization.Assists with the development and execution of requirements gathering processFacilitate requirement gathering meetings with business users Prioritize requirements and create conceptual prototypes and mock-upsSupport business requirements detailed documentationParticipates in user acceptance testing and testing of new system functionalitySupports application training documentation creation Direct quality measures for department deliverablesParticipate in peer reviews of analyst work completed by team membersBuild strong relationships within the department and company, including business ownersParticipate in the day-to-day support and requirement gathering activitiesThoroughly understand assigned Business applications and user impact Bachelor’s degree preferred Must have at least 1 year of relevant work experience required PHYSICAL DEMANDS/WORKING CONDITIONS Some travel will be required – 10% or less Typical work week hours can vary depending on workload and project deliverablesHCA Healthcare has been recognized as one of the Worldâ€™s Most Ethical CompaniesÂ® by the Ethisphere Institute more than ten times. Â In recent years, HCA Healthcare spent an estimated $3.7 billion in cost for the delivery of charitable care, uninsured discounts, and other uncompensated expenses. "There is so much good to do in the world and so many different ways to do it."- Dr. Thomas Frist, Sr. HCA Healthcare Co-FounderBe a part of an organization that invests in you! We are reviewing applications for our Product Analyst opening. Qualified candidates will be contacted for interviews. Submit your application and help us raise the bar in patient care! We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
GitLab	Program Manager, Product Division (Monetization)	Remote	PM	ENTRY_LEVEL	NA	The GitLab DevSecOps platform empowers 100,000+ organizations to deliver software faster and more efficiently. We are one of the world’s largest all-remote companies with 2,000+ team members and values that foster a culture where people embrace the belief that everyone can contribute. Learn more about Life at GitLab.We're looking for an experienced Sr. Program Manager to manage and contribute to cross functional initiatives led by the Product Monetization department at GitLab. This role directly contributes to critical Pricing, Packaging, and Monetization related initiatives working closely with the Pricing team, Fulfillment, Legal, Finance and GTM teams. This individual will be responsible for leading key cross functional initiatives across the company focused primarily on monetization related initiatives. This includes pricing changes, introduction of new products, and modifications/iterations to existing commercial offerings. Work will span from small self-lead projects to managing larger initiatives that span contributions from nearly every department within GitLab. You’ll contribute directly to the priorities of the Product Division, specifically work focused on driving revenue via new monetization initiatives and collaborate closely with the Product Leadership team, Finance, Legal and GTM teams. ResponsibilitiesIndependently run small projects overseeing end to end delivery ensuring efficiency and collaboration of impacted stakeholdersProgram Manage larger cross functional initiatives (focused on Monetization)Maintain clear and transparent documentation within the GitLab handbook and GitLab issues on Product Monetization initiativesDevelop processes to improve efficiency across the divisionEmbody our CREDIT values in your workRequirementsPrior experience as a Program Manager (PgM)Experience working on technical cross functional programs at a larger organizationAttention to detail and strong demonstrated written communication skillsAbility to learn technical skills including managing our handbook with gitExperience collaborating closely with stakeholders across marketing, sales and legalExposure to pricing or monetization related work including new product launches, or managing complex portfolios of productsHow GitLab will support youBenefits to support your health, finances, and well-beingAll remote, asynchronous work environmentFlexible Paid Time OffTeam Member Resource GroupsEquity Compensation & Employee Stock Purchase PlanGrowth and development budgetParental leaveHome office supportPlease note that we welcome interest from candidates with varying levels of experience; many successful candidates do not meet every single requirement. Additionally, studies have shown that people from underrepresented groups are less likely to apply to a job unless they meet every single qualification. If you're excited about this role, please apply and allow our recruiters to assess your application  Remote-Global The base salary range for this role’s listed level is currently for residents of listed locations only. Grade level and salary ranges are determined through interviews and a review of education, experience, knowledge, skills, abilities of the applicant, equity with other team members, and alignment with market data. See more information on our benefits and equity. Sales roles are also eligible for incentive pay targeted at up to 100% of the offered base salary.     Colorado/Washington pay range        $104,100—$186,000 USD        California/New York/New Jersey pay range        $124,000—$200,000 USD   Country Hiring Guidelines: GitLab hires new team members in countries around the world. All of our roles are remote, however some roles may carry specific location-based eligibility requirements. Our Talent Acquisition team can help answer any questions about location after starting the recruiting process.
Hill Valley Inc	Product Placement – Project Manager	Los Angeles, CA 90034 (Palms area)	PM	ENTRY_LEVEL	$40,000 - $60,000 a year	HILL VALLEY is a company specialized in product placement, working with iconic brands and studio movies, independent films, TV series and Events. From Spencer and Once Upon a Time in Hollywood to Emily in Paris or Succession. We are a global company based in LA, NY and Paris.Joining our product placement team, your responsibilities will be as follows:- Identification of new projects (films/tv series) to work on- Reach out and organize meeting with producers, studios and crew members- Script coverage- Manage the product placement strategy for films and tv series- Identification of product placement opportunities- Identification of new brands to work with (research brands and contacts)- Creation of marketing and sales documents- Organize calls/meetings with brands to sell product placement opportunities- Lead negotiations and close deals- Reach sales objectives- Keep track of the product placements, from the filming stage to the release of the projects- You will be the main point of liaison for the production teams and the brands- Creation of monthly reporting and newsletters- Communicate the information to your team, participate in internal meetings- Manage internsPlease send us an email and cover letter if you are a good fit for this job and if you meet the requirements below, so we can schedule an interview:- Bachelors Degree or higher- Good marketing knowledge and understand the brands positioning- Good knowledge of the Entertainment industry- Positive attitute & proactive, you know how to promote and sell conceptsJob Type: Full-timePay: $40,000.00 - $60,000.00 per yearBenefits:Health insurancePaid time offSchedule:Monday to FridaySupplemental pay types:Commission payWork Location: In person
Renee Systems	Product Owner (Job Code PO)	Brecksville, OH 44141	PM	ENTRY_LEVEL	NA	Product Owner (Job Code PO) – create technical product vision & roadmap which accomplishes the project goals in collaboration with stakeholders.
Flex	Product Owner	Remote	PM	ENTRY_LEVEL	NA	  Flex   is building a finance super app for business owners — reimagining every single aspect of the financial workflow and financial services for any entrepreneur. The company is growing 35% MoM and is on track to achieve cash flow positive by early 2024. Flex is focused on the long tail of the market, especially undigitized industries like construction and logistics, with >$1.2T in card spend annually still up for grabs. 90% of its customers come from incumbents like BofA and AmEx.  Flex is a fully remote company and this role can be performed from anywhere.  The Role  We are looking for   product owners who are excited to be part of our early story and help us build a diverse and vibrant company. You will have the opportunity to learn and drive the creation of financial products and experiences to help our customers reach their full potential. You should have a strong sense of ownership and enjoy taking projects from inception to release. As an early employee, you’ll be working with a nimble team of committed and talented employees and having a large, long-term impact on Flex products and culture.  We are open to candidates from Canada, Mexico, the United States, and Colombia. What you'll do Drive the enhancement of financial services and products, including mobile apps, online account management tools, and virtual payment solutions. Continuously improve the user experience and add features to meet changing customer needs. Collaborate with internal stakeholders to identify opportunities within the organization's operational processes. Develop internal financial solutions, such as automated reporting tools, data analytics platforms, and workflow optimization systems, to increase efficiency and streamline operations. Work closely with compliance and legal to ensure that all products adhere to relevant financial regulations and industry standards. Mitigate potential risks through robust product design and implementation. Stay up-to-date with changes in industry regulations and security protocols. Conduct user research and market analysis to understand customer preferences, pain points, and emerging trends. Utilize these insights to inform product development decisions. Partner with engineering throughout the development lifecycle. Provide clear and detailed product requirements, prioritize features, and ensure the timely delivery of high-quality solutions. Implement necessary measures to safeguard customer data and ensure compliance with relevant laws. Utilize data analytics and performance metrics to assess product performance, identify areas for improvement, and make data-driven decisions to optimize products. Work closely with customer support teams to address customer inquiries, feedback, and issues related to products. Continuously strive to improve customer satisfaction and retention. Develop and communicate a clear product roadmap and strategy. Align the product vision with the Flex's overall objectives. Ideally you have background on personal or business accounting or spending tools, integrations with accounting tools.  What you'll need Proven experience as a Product Owner or similar role at a startup with a focus on financial products. Solid knowledge of credit risk assessment, lending processes, and banking operations. Familiarity with compliance standards, regulations, and security protocols relevant to the credit and banking sectors. Excellent communication, collaboration, and stakeholder management skills. Analytical mindset with the ability to leverage data and market insights to inform product decisions. Proficiency in using product management tools and platforms to manage the product backlog and track progress. Passion for innovation, customer-centricity, and continuous improvement in product development. What we offer A visionary founding team with elite backgrounds and substantial industry experience. A substantial Series A round, providing ample growth and opportunities. A culture that supports remote work and values connection through semi-annual offsites. Support from leading Silicon Valley venture capitalists and industry insiders. An attractive compensation package, including comprehensive benefits and perks. Interested? We'd love to hear from you   At Flex, we value passion, determination, and honesty. Even if you don't fully match the job specifics, we encourage you to apply. Unusual career paths and unique skills can help you stand out. We believe diversity drives our success. 
Agama Solutions	Biometrics Product Manager	San Francisco, CA (Bernal Heights area)	PM	ENTRY_LEVEL	NA	Order of Importance Strong comm Strong BG working with SW Development Team Biomentrics, authentication is nice to have Agile/Scrum team management as PO Preference for previous Wells, but not requirement. Primary responsibilities for this role may include but are not limited to:  Provide consulting, facilitation and support to the managers and process owners to identify opportunities to simplify and streamline business deliverables and processes  Support team's proactive activities and structured early engagement initiatives to ease burden of high-demand, short response time program requirements  Evaluate critically the effectiveness of processes, inputs, activities and time lines related to strategic planning and performance management and drive for improvements  Manage the processes to ensure the Authentication team is making progress on all self-directed proactive and formalized BPM (Business Process) and SAA (Audit) activities  Lead efforts to ensure accurate and robust weekly and monthly updates are submitted on time
Amberjack for IMI Plc	Product Management Graduate	University Park, IL	PM	ENTRY_LEVEL	$81,250 a year	We ❤ making a difference in the world. We’re a FTSE 100 engineering company with a difference. Be part of a diverse, inclusive and supportive team on an international scale with a friendly, family culture.At IMI, we make the world a better place through new thinking and technology. We design, manufacture and service products that control the precise movement of fluids. We apply our expertise across a huge range of industries, from industrial automation to life sciences to green energy to indoor climate control.Join our Industrial Automation sector, on the IMI Graduate Programme in the USA, University Park, Illinois, and gain unique product management experience.In this role you will learn key skills and processes to plan, develop, launch and manage our products through their entire lifecycle in a way that will deliver real value to our customers today and tomorrow. You will collaborate with Engineering, Marketing, and Sales to ensure that the health of the product portfolio is optimal and the value in our products is being translated to an outstanding customer experience. You will also use market research and interface with our customers to drive market-led innovation.By the end of the programme, you’ll have all the skills needed to grow in your product management career. You’ll spend two years running and supporting in several areas, on tasks including:Market research to identify market needs, including voice of the customer activities, competitor research, win/loss analysis, data mining to validate market segmentation understanding, and analyzing and synthesizing customer researchSupport development of product strategies and roadmaps, including defining a product vision, goals, and high-level themes that are tied with the broader business objectives, creating a product roadmap, and developing pricing strategyMargin improvement and 3C analysis for product lines (including 9 block analysis)Create and update go-to-market strategies by working with the rest of the commercial team (sales, marketing, and commercial leadership)Support execution of product rationalization strategy and obsolescence projects.Support projects to improve the P&L Performance and customer experience for the product line(s)What you needYou will need a bachelor’s or master’s degree (or equivalent) in Marketing, Business Management, or Engineering. We’d also like to see some key qualities in our candidates, including:A fresh, innovative approachOpen to new and varied experiencesExcellent organisation with the ability to work efficiently in fast-paced environmentsPositive approach and drive to developFluent in written and spoken local language.We believe that the more diverse we are as a company, the better representation and difference we can make for the communities we serve. It’s important that candidates looking to apply can reflect our safe, inclusive culture that celebrates difference.What we offerWe want you to feel proud and rewarded for the work that you’ll do each day. That’s why we’ll offer a highly competitive salary from the first day you join us at IMI. On top of that, you’ll also have access to a great benefits package. During your time at IMI, you will uncover and apply your strengths through supported and actionable learning. You will be empowered to own your own development, be a valued member of our One Big Team, and help us solve industry problems, capture growth quickly and continually improve.Our programme offers the opportunity to work across multiple locations, dependent upon business need, which means you may need to relocate. This could be within the country you’re applying for, sometimes it may be to another country.Code of Ethics:IMI requires the highest standard of ethics in all business dealings, particularly with customers, suppliers, advisors, employees, and the authorities. In accordance with the IMI Way: Our Code of Responsible Business.Changes to This Job Description:IMI may amend this job description in whole or part at any time.Job Type: Full-timeSalary: $81,250.00 per yearWork Location: In person
Chilipay Limited	Product Owner	Malta, MT	PM	ENTRY_LEVEL	NA	ABOUT US We’re like-minded, curious, excitable people here at Chiliz who work well in teams, spread across the globe. Chiliz is a global blockchain company, which powers Socios.com - the creators of Fan Tokens, and the popular fan rewards platform. Socios has partnered with some of the world’s best teams, including Paris Saint-Germain, Juventus, FC Barcelona, Atlético de Madrid, UFC, Galatasaray, Manchester City FC, Davis Cup, and many more. The curious nature of a Chilizen is what drives this company forward, and since we’re looking to grow even more, apply for your dream role today. OUR BRANDS & CHANNELS Chiliz ($CHZ) is our digital currency for blockchain-backed platforms and products, as well as mainstream users, which powers Socios.com. Socios.com is the world's first fan voting and rewards platform. We produce digital assets called Fan Tokens for our partner teams, which fans use to vote in team-specific polls to earn rewards and once-in-a-lifetime experiences. Chiliz.net is a first-of-its-kind mobile and desktop crypto exchange for sports & entertainment products. THE ROLE  Due to continued growth, we’re now looking to recruit a highly motivated, intelligent, and energetic Product Owner to guide the development of our Platforms. Passion and knowledge of sports and crypto industries are great assets that will help you excel in this role. Reporting to our Senior Product Owner, you will be working closely with our development teams to ensure that business, quality and functional goals are met with each product release. The PO is responsible for the design, usability, quality and delivery of a product or feature, and as the key decision maker of priorities, design, and works, you will ensure that all stakeholders are aligned to each stage of the development lifecycle. Finally, you understand both the engineering and business side of the product release and ultimately are responsible for representing the end user’s needs. Spirit As emphasized in the Agile manifesto, the Product Owner must master the “art of simplicity and prioritization” to optimize the per hour spent on each of the user-stories by a Scrum team and minimize the amount of work not done.Passionate about sports and/or crypto industries. Strong understanding and interest in the technology trends, exciting new features, and innovative ideas within the mobile development world.Well aware of the phases of development. Capable to share and communicate feedback effectively leading the team to a successful path.Full understanding of Agile methodology, with the capability to implement changes in a timely manner. Must attend Team-Agile rituals from Sprint planning or daily Scrum to Refinement and Retrospective meetings.Enjoys building strong relationships with stakeholders and the team to achieve the best outcome possibleProduct owner’s duty is to facilitate and make achievable go-to-market goals done at marketing or sales level. Responsibilities & Duties Collaborate with Technical lead to translate business requirements into user stories, that are granular enough to be achieved in a single sprint, for the development teams to implement.Develop appropriately detailed specifications for product features so that they are clearly understood by the development team.Make sure to gather all the materials required by the development team to proceed (wireframes/designs/assets/documentation) from the different stakeholders and to deliver those along with specifications.Maintain the Product Backlog due to the on-going nature of the job.Assess value, develop cases, and prioritize stories and epics to ensure work focuses on those with maximum value that are aligned with product strategy.Inspire and motivate the development team to deliver innovative and exciting solutions with an appropriate sense of urgency.Ensure that the development team always has an adequate amount of prior prepared tasks to work on.Must continuously engage the customer and stakeholders to ensure the Team is building the right product and therefore delivering the ROI expected.Act as an ambassador for the product internally and externally, and as the primary technical contact for queries related to the product. Daily Duties Writing new user stories.Splitting user stories which are too big.Specifying acceptance criteria for each user story.Refining the product backlog.Keeping in touch with every stakeholder of the product regularly.Giving feedback to the development team.Participating in Scrum meetings.Helping the team to continuously improve their process.Continuing to learn about everything Agile.Playing with the product.Measuring progress. WHAT WE OFFER We offer you the chance to grow, to learn, to flex your creative muscles and to work for a project that is providing excitement to thousands of users. Our interview phase is a 3-step process where you’ll be able to ask us anything and get to know your team too. From HR right through to your team lead, we need this process to work both ways: It's not just about you fitting in, but about us being the right fit for you too. Are you ready to work with the world’s best teams? Are you happy to try, fail and bounce back? Are you excited to keep pushing the boundaries of technology? We’ve got offices across the world, over 30 nationalities in our ranks and the most important superpower of all - flexibility. Our competitive salaries, wellness allowance, healthcare and pension plan are just the tip of the iceberg. You’ll gain friends, experience and a good challenge, we’ll gain you. Are you ready?
Advanced Micro Devices, Inc	Product Development Program Manager	Austin, TX 78735 (East Oak Hill area)	PM	ENTRY_LEVEL	NA
First Horizon Bank	Deposits Product Manager	New Orleans, LA 70130 (Central Business District area)	PM	ENTRY_LEVEL	NA	About Us First Horizon Corp. (NYSE: FHN), with $89.1 billion in assets as of December 31, 2021, is a leading regional financial services company, dedicated to helping our clients, communities and associates unlock their full potential with capital and counsel. Headquartered in Memphis, TN, the banking subsidiary First Horizon Bank operates in 12 states across the southern U.S. The Company and its subsidiaries offer commercial, private banking, consumer, small business, wealth and trust management, retail brokerage, capital markets, fixed income, mortgage, and title insurance services. First Horizon has been recognized as one of the nation's best employers by Fortune and Forbes magazines and a Top 10 Most Reputable U.S. Bank.SUMMARY The Product Manager is responsible for the management of the proactive development, implementation, on-going enhancement, and analysis of retail and small business products and pricing, as well as, setting goals and strategies to achieve corporate objectives within the retail and small business line of business. The manager will also participate in merger related activities as it relates to the mapping, pricing, operational conversion, training, and client communication of products. ESSENTIAL DUTIES AND RESPONSIBILITIESManages the development and execution of the product development, pricing, acquisition, activation, cross-sell, profitability, and retention through on-going analysis, and provides recommendation for continuous improvementRecommends product and campaign performance, competitive analysis, and financial landscape to recommend pricing strategies to grow the portfolios to achieve corporate growth goalsRecommends product enhancements, consolidation, or elimination of existing products based on product need, profitability, competitive nature, etc.Manages approved product launches, modifications, and pricing changesServes as subject matter expert delivering product, target audience, competition expertise and sales support to sales teams and other support areasKnowledge of competitive products, fees, and ratesKeeps current on all regulatory changes affecting deposit products, and coordinate required changesProficiently proof-reads all marketing, client communications, etc. for accuracyDevelops professional rapport with all operational, management, and regional market areas of the bankManages external vendor relationships including managing and tracking vendor service levels, product training, and overall profitabilityAll other duties as assignedFollow Us Facebook - facebook.com/FirstHorizonBank Twitter - twitter.com/FirstHorizonBnk LinkedIn - linkedin.com/company/first-horizon-bank Instagram - instagram.com/first_horizon YouTube - youtube.com/channel/UCEVs5OMj-b0H9Dr5Q209_-QCorporate Diversity Commitment: We remain committed to creating a more equitable society, and that starts with our associates, our clients, and the communities we serve. We do this by elevating equity, providing capital and counsel, and committing to excellence in everything we do. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)
Automobile Club of Southern California	Associate Product Manager	Costa Mesa, CA 92626	PM	ENTRY_LEVEL	$111,200 - $148,200 a year	We are seeking a Product Manager who will be charged with creating and implementing strategic plans for development, improvement, and distribution of assigned product lines across multiple ACE Markets. Responsibilities: You will manage and coordinate all activities in the enhancement of existing products and/or the development of new products.  This role will monitor profitability, productivity and growth targets of assigned product lines and make recommendations/corrections to improve attainment of Club’s goals and objectives.  You will conduct market and competitive research to effectively evaluate marketing plans and goals, and to develop optimum sales/service effectiveness.  Represents the Club when negotiating with outside vendors and business partners.  You will be tasked with developing detailed strategy for product distribution channels, determine and direct how strategy fits with overall distribution strategy of the Club. Qualifications: Four-year college degree in marketing, business, management, or equivalent combination of education and work experience required.  Prior product management, product development or related experience required.  Prior budgeting, forecasting, and/or strategic planning experience required.  Moderate knowledge of AAA products and operations highly desired.  Ability to think strategically and transform strategy into actionable plans required. The starting pay range for this position is: $111,200.00 - $148,200.00 Additionally, you will be eligible to participate in our incentive program based upon the achievement of organization, team and personal performance. . Remarkable benefits:Health coverage for medical, dental, vision401(K) saving plan with company match AND PensionTuition assistancePTO for community volunteer programsWellness programEmployee discounts The Automobile Club of Southern California is part of the largest federation of AAA clubs in the nation. We have 14,000 employees in 21 states helping 17 million members. The strength of our organization is our employees. Bringing together and supporting different cultures, backgrounds, personalities, and strengths creates a team capable of delivering legendary, lifetime service to our members. When we embrace our diversity – we win. All of Us! With our national brand recognition, long-standing reputation since 1902, and constantly growing membership, we are seeking career-minded, service-driven professionals to join our team.  “Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.”  AAA is an Equal Opportunity Employer  The Automobile Club of Southern California will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable federal, state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.
VXForward	Product Strategist/Product Owner	Remote	PM	ENTRY_LEVEL	NA	 VXForward has a great opportunity for a Product Strategist/Product Owner- 100% Remote with one of our clients. Responsibilities: Looking for Product strategists/owners who understand patient experiences via web portal and mobile app. Understands how to integrate EHRs, EPIC/Athena data, determine best user experience journeys of accessing care, check-in online, fill a prescription, understand test results, and communicate with the care team. Create a roadmap for product development timeline and sequence of work.Required Skills:Product experienceUser journey experience,Communications,Value story of capability,ROI/CBA of utilization of feature,Dashboard/KPIs to monitorThis is a remote position.
