Apple	FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	NA
NTN Driveshaft, Inc	Mechanical Engineer	Columbus, IN 47201	FEA	ENTRY_LEVEL	$65,000 - $87,000 a year	JOB DESCRIPTION: We are looking for a creative Mechanical Engineer to work on all product stages from research and development to design and manufacture, through to installation and final commissioning. The goal is to design and fabricate mechanical components of innovation and excellence.ESSENTIAL DUTIES AND RESPONSIBILITIES:· Perform a full lifecycle product development (design, develop, test prototypes, manufacture and implement)· Design systems and components that meet needs and requirements.· Produce outline designs.· Conduct experiments methodically, analyze data and interpret results.· Test and evaluate theoretical designs.· Identify, formulate, and produce effective solutions to emerging problems.· Evaluate final product’s overall performance, reliability, and safety.· Alter and modify design to meet requirements and to eliminate malfunctions.· Estimate budget and scope of project.· Solicit observations from operators.· Prepare product reports and documentation.· Engage in lifelong learning and develop new theories or methods.Pay TypeSalariedREQUIRED KNOWLEDGE, SKILLS, EDUCATION, AND ABILITIES:· Proven working experience in mechanical engineering.· Working experience with product lifecycle management (PLM), finite element analysis (FEA) and computational fluid dynamics (CFD)· Hands-on experience with computer-aided engineering (CAM) and computer-aided manufacturing (CAE)· Familiarity with 2D or 3D engineering design and manufacturing tools (e.g., AutoCAD, ProE or other)· Adequate knowledge of engineering analysis tools (ANSYS, ProMechanica or similar)· Mathematical computing and analysis tools knowledge (Matlab, Excel, LabView etc.)· Solid understanding of core concepts including mechanics, kinematics, thermodynamics, materials science etc.· Creativity and analytical skills· Ability to communicate technical knowledge in a clear and understandable manner.· Technical writing skills· BSc degree in EngineeringJob Type: Full-timePay: $65,000.00 - $87,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:Day shiftMonday to FridayAbility to commute/relocate:Columbus, IN 47201: Reliably commute or planning to relocate before starting work (Required)Work Location: In person
BOEING	Product Design & Analysis Engineer	Sylmar, CA	FEA	ENTRY_LEVEL	Estimated $94.5K - $120K a year	At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. Your dreams go beyond Planet Earth. You are passionate, highly-motivated, and excited to be on the forefront of providing innovative, affordable, and enduring space and airborne products. You will be a leader in space innovation! Spectrolab, Inc., a wholly-owned subsidiary of The Boeing Company, seeks a Product Design & Analysis Engineer for product configuration to define, characterize, and qualify solar cell devices and assemblies, and the associated materials and processes in support of current programs and development of next generation technologies. You will provide process analysis and production support to meet requirements as well as assess product performance, implement quality improvements, apply lean and DFMAT principles, and find cost reduction options . Position Responsibilities: These vary according to customer and internal priorities. Implement non-recurring engineering in support of new device definition and existing technology optimization to meet customer interface and performance requirements. Participate in validation and qualification efforts for new technology development or modification efforts at both the device and assembly levels. Translate customer requirements into documentation for parts and materials procurement, product development, manufacturing, and testing. Identify long lead materials and tooling and testing requirements for the product and associated support software. Write qualification and validation test plans and reports. Prepare design review documents and design analysis validation reports, and make effective presentations to internal Technology Change Review Board and customers. Review manufacturing documents for assigned products and programs and support manufacturing for correct implementation of the design. Provide timely resolution of production and supplier issues, consistent with applicable customer and regulatory requirements and product qualification baseline. Participate in or lead root cause analysis and corrective action efforts to resolve product or process performance issues. Implement continuous improvement and breakthrough product or process ideas to reduce process cycle time, reduce product cost, or improve product or market performance. This position requires both background knowledge and desire to shift priorities to take on additional cross-functional responsibilities, such as: Perform radiation, power, mass, EMC, reliability/FMEA, and DFMAT analyses to optimize the product design within the confines of schedule and cost objectives and/or to resolve process or supplier anomalies. Review customer requests for quotation (RFQs) and assist in definition of product configuration and in preparation of proposals for space and terrestrial solar cells and related devices based on Spectrolab’s III-V growth and processing capabilities. Assist at needed with same at higher levels of indenture. Participate in factory automation, PCB/PCBA design, or panel/wing/illuminations products design and process improvement/issue resolution efforts. All work is performed onsite at our manufacturing facility in Sylmar, California. This position must meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee. Basic Qualifications: Bachelor's degree in Physics, Electronics, Electrical Engineering, Mechanical Engineering, Material Science, Industrial/Manufacturing Engineering, Computer Science or similar field. Experience analyzing technical data and providing clear written and spoken presentation of the results. Experience providing engineering support in a fast-paced manufacturing environment. Preferred Qualifications (Desired Skills/Experience): Familiarity with environmental effects (radiation, temperature, ESD, atomic oxygen, etc.) on semiconductor devices and associated design and analysis techniques for evaluating performance under a wide range of potential operating conditions. Familiarity with gated approach to product & process development and Aerospace industry material and qualification requirements (such as AIAA-S-111/112, NASA-STD-6016, and/or equivalent ECSS standards). Knowledge of statistical analysis, statistical process control, lean principles. Understanding of fundamentals of chemistry and physics. Experience participating in or leading Root Cause/Corrective Action investigations (RCCA) and/or Design for Manufacturing Assembly & Test (DFMAT) initiatives. Experience in reading, interpreting, and generating electrical schematics and technical specifications. Experience in programming/developing/debugging software; ideally with VBA, LabView, C/C+/C++/Dynamic C, SQL, Python, or similar. PCB design experience, inclusive of logic circuits and programming. Hands-on experience in assembling/testing electronic components and/or conducting environmental tests. Familiarity with developing and/or identifying and implementing targeted process automation or other continuous improvement initiatives for both production and production support environments. Ability to do FEA, mechanical, thermal or optical modeling. Typical Education & Experience: Entry-Level (level 1): Education/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics, physics or chemistry (e.g. Bachelor) or an equivalent combination of technical education and experience. In the USA, ABET accreditation is the preferred, although not required, accreditation standard. Associate (level 2): Education/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics, physics or chemistry (e.g. Bachelor) and typically 2 or more years' related work experience or an equivalent combination of technical education and experience (e.g. Master). In the USA, ABET accreditation is the preferred, although not required, accreditation standard. Mid-Level (level 3): Education/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics, physics or chemistry (e.g. Bachelor) and typically 5 or more years' related work experience or an equivalent combination of technical education and experience (e.g. PhD, Master+3 years' related work experience). In the USA, ABET accreditation is the preferred, although not required, accreditation standard Relocation: Relocation assistance is not a negotiable benefit for this position. You must be within commuting distance or relocate at their own expense. Drug Free Workplace: Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies. Shift Work: This position is for 1st shift. At Boeing, we strive to deliver a Total Rewards package that will attract, engage and retain the top talent. Elements of the Total Rewards package include competitive base pay and variable compensation opportunities. The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance, flexible spending accounts, health savings accounts, retirement savings plans, life and disability insurance programs, and a number of programs that provide for both paid and unpaid time away from work. The specific programs and options available to any given employee may vary depending on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements. Pay is based upon candidate experience and qualifications, as well as market and business considerations. Summary pay range: Entry-Level (level 1): 70,550 – 95,450 Associate (level 2): 85,850 – 116,150 Mid-Level (level 3): 104,550 – 141,450 Export Control Requirements: U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee. Export Control Details: US based job, US Person required  Equal Opportunity Employer: Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.
CommScope	Mechanical Engineering Co-Op: Summer 2024	Shakopee, MN 55379	FEA	ENTRY_LEVEL	Estimated $52.9K - $67K a year	Co-Op Programs at CommScope As CommScope designs and builds connectivity for the world's most advanced networks, we're building something equally as important: careers for forward-thinking, innovated college students like you! Our Summer Co-Op Program is designed to provide you with an invaluable work experience through meaningful projects that will help you grow and develop both personally and professionally. Throughout the 12-week program, you will collaborate with some of the best in the industry, receive on-the-job training, participating in professional development workshops, executive speaker series, and other networking and social events! How You’ll Help Us Connect the World As a Mechanical Engineering Co-Op Intern, you will be responsible for assisting the Fiber Optic Product Engineering team in the generation of new product ideas driven by customer feedback and market trends. This role will be based in Shakopee, Minnesota. You Will Make an Impact By Leading and crafting designs of products used in Fiber Optic Networks and generating associated product assembly drawings & documentation for manufacturing. Collaborating with operations/manufacturing during the design cycle to optimize design for manufacturability and assembly. Collaborating with mechanical engineers and other technical fields on product improvements and new product solutions. Developing product bills of material and help coordinate product BOM loading into SAP. Working closely with CommScope factory locations and suppliers to introduce new product designs into manufacturing and assist with the development of assembly work instructions. Working with our development lab to test and demonstrate product compliance to requirements. Required Qualifications for Consideration Actively pursuing a bachelor’s (upcoming sophomores, juniors & seniors) or master’s degree in mechanical engineering from an accredited university Proven strong academic performer with a minimum GPA of 3.0 A strong desire to learn and grow by applying your education so far to real world engineering challenges Must possess unrestricted work authorization and not require future sponsorship Military-Affiliated candidates encouraged to apply (Veterans, Military Spouses, and Guard/Reservists) You Will Excite Us If You Have some experience in validated modeling software and data management – CREO experience preferred Have some background in FEA analysis. Ansys preferred Possess good hands-on mechanical ability. Possess strong verbal, written, presentation, analytical and interpersonal skills Have the ability to function independently and within a team Possess strong Computer Skills Demonstrate strong leadership, interpersonal and communication skills Show innovation through unique ideas and propose them to the team Are able to handle multiple assignments simultaneously and effectively meet deadlines Have strategic and creative thinking; distinguished written and verbal communications skills Possess a strong initiative; are a self-starter with analytical skills, attention to detail, problem-solving and decision-making abilities Have experience working in a fast-paced environment and flexible to changing priorities What Happens After You Apply Learn how to prepare yourself for the next steps in our hiring process by visiting https://careers.commscope.com/how-we-hire. Why CommScope CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables game-changing discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.  If you want to grow your career alongside bright, passionate, and caring people who strive to create what's next...come connect to your future at CommScope.  CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at talentacquisition@commscope.com. You can also learn more about CommScope’s accommodation process and EEO policy at careers.commscope.com/eeo
Harper International	Project Engineer	Buffalo, NY 14225	FEA	ENTRY_LEVEL	$85,000 - $100,000 a year	HARPER INTERNATIONAL  POSITION DESCRIPTION The Position Description is the tool used by Harper International to communicate and clarify the essential job functions, establish the basis for performance expectations, and identify training needs for each position. Part I - Reporting Structure Date of last revision: September 2023 Department: Engineering Job Title: Project Engineer Reports To: Engineering Manager Status: Exempt Completed By: HR Related “market” titles: Senior Mechanical Design Engineer Part II – Position Objective Provide broad-based equipment design expertise and leadership to large OEM projects. The scope of the responsibility encompasses all aspects of engineering from mechanical to electrical and instrumentation. Responsible for the technical integrity of product, from design concept to final product. Part III – Job Responsibilities Essential Duties 1. Provide broad-based design expertise in terms of functionality, cost, and  manufacturability of large OEM projects. 2. Translate product performance requirements into technical specifications.  3. Develop design concepts to meet performance and process specifications  4. Develop test methods and plans to verify product performance  5. Oversee engineering staff to ensure detailed design meet specifications  6. Utilize design software to: Provide design concept & specifications for other members of design staff Perform engineering calculations Perform FEA analysis to optimize design 7. Select and specify materials and interact with purchasing to modify materials or    components when necessary. 8. Provide necessary guidance, mentoring, and training on Harper-specific technology  and best practices to transfer knowledge and increase efficiencies. 9. Collaborate with Process Technology Engineer(s) on projects that require in-depth  technical analyses. 10. Interface and provide assistance to subcontractors and customers.  11. Provide support during the installation and start-up phase of projects.  12. Provide technical expertise and support during customer interactions.  13. Assist Applications department with engineering studies as needed.   IV – Knowledge, Skills, Education Knowledge, Skills, Education 1. BSME or BSMT required 2. In depth knowledge of mechanical engineering design skills  3. In-depth knowledge & experience designing assemblies, sub-assemblies, and components using the following manufacturing processes: Large structural fabrications Sheet metal Castings Machining Low-volume assembly 4. Experience and familiarity with materials such as various grades of stainless steel,    silicon carbide, graphite, high-temp alloys, etc… 5. Capability to develop innovative optimal designs  6. Must demonstrate good judgment, ability to make decisions and delegate tasks effectively. 7. Proficiency with 2D & 3D design tools, such as Autocad and Inventor highly  desirable. 8. Must possess ability to communicate effectively with customer  9. Must be able to receive feedback, participate a member of a cross-functional team, provide a high level of customer service to internal customers. 10. Must be willing to travel-both domestical/international-up to 15%  V – Physical Requirements The job requires the following less than 1/3 of the time: 1. Standing  2. Walking 3. Reaching with arms/hands 4. Climbing or balancing 5. Stooping, kneeling, crouching or crawling 6. Talking or smelling 7. Lifting or moving up to thirty pounds The job requires the following 1/3 – 2/3 of the time: 1. Sitting  The job requires the following more than 2/3 of the time: 1. Using hands  2. Talking  3. Hearing VI – Compensation $85,000-$100,000 annually Individual compensation is based on various factors unique to each candidate, including skill set, experience, qualifications, and other position related components.   Harper International is an equal opportunity employer and does not discriminate on the basis of any legally protected status or characteristic. Race/Color/Gender/Sexual Orientation/Gender Identity/Religion/National Origin/Disability/Veteran.
Electric Hydrogen	Stack Mechanical Engineering Co-Op	Natick, MA	FEA	ENTRY_LEVEL	Estimated $82.3K - $104K a year	Electric Hydrogen's mission is to make molecules to decarbonize our world! Our outstanding people are our most important asset and will allow us to deliver hydrogen from renewable electrolysis for heavy industry, at prices below fossil fuels. We're looking for a Stack Mechanical Engineering Co-Op Jan-Summer 2024 to create compelling mechanical components and system designs. You will participate in the product development cycles of electrolyzer stacks and main components such as plates, seals, electrode assemblies, compression hardware, and fluid interfaces. You will work onsite in our Natick location and report into the Lead Mechanical Engineer. Responsibilities Perform design and analysis of electrolyzer stacks and components relative to requirements. Analyses may consist of pressure drop and fluid distribution analysis using computational fluid dynamics (CFD), structural finite element analysis (FEA) for component deflection, mechanical failure, and sealing and heat transfer and mass transport analyses. Create 3-D models and drawings of electrolyzer stacks and components. Perform tolerance analysis of components and assemblies. Develop and write part and material specifications. Qualifications Pursuing BS or MS in Mechanical or Chemical Engineering or similar 3D modeling and drawing skills Tolerance analysis Computational Fluid Dynamics (CFD) Structural Finite Element Analysis (FEA) Seal/gasket analysis and design Basic knowledge of fluid dynamics, heat transfer, mechanics of materials, and mass transport Compensation and Benefits All students will have the opportunity to develop skills, gain laboratory experience and benefit from a valuable experience within a startup culture while learning about the energy industry. $1,500 transportation stipend will be provided or $3,000 relocation stipend (depending on location) #LI-Onsite Natick Zone    $35—$37 USD   Actual base salary offered to the hired applicant will be determined based on their work location, level, qualifications, job-related skills, as well as relevant education or training and experience. Base salary is just one part of Electric Hydrogen's total rewards package. We feel strongly that our team should not have to worry about having quality healthcare. In addition to the base salary offered, the hired applicant may receive: an equity grant time off programs a $75/month cell phone allowance a 4% employer 401(k) match 100% fully paid premiums for employees and their families: medical, dental, vision, life insurance, short-term & long-term disability coverage a discretionary bonus Electric Hydrogen's benefits programs are subject to eligibility requirements. COVID-19 vaccination required for all employees and contingent workers, unless a reasonable accommodation is approved. All prospective hires will be expected to provide proof of vaccination to attend an onsite interview or at their first day of employment. About Electric Hydrogen Electric Hydrogen is a team of the world's experts in scaling technologies for the post-carbon world, with a proven record in transforming the grid and transportation sectors. Backed by some of the world's top venture capital firms, we design and manufacture electrolytic hydrogen systems matched to renewable power sources to create green hydrogen by splitting water. We are building a cost-effective and transformative path between renewable energy and multiple large industrial sectors. Abundant and low-cost renewable energy sources will power the world, and Electric Hydrogen technology will use this energy to decarbonize industry through sustainable materials. We were founded in 2020 and are based in California and Massachusetts. Electric Hydrogen is proud to be an equal opportunity employer. We are dedicated to building a diverse, inclusive, and authentic workplace for all to belong. We are aware that people from historically underrepresented groups are less likely to apply if they don't meet 100% of the job requirements. We are actively working on efforts to change this social norm. If you are excited about this role, we encourage you to apply!
ED Wallach Search Group	Mechanical Design Engineer	Groton, CT	FEA	ENTRY_LEVEL	Estimated $81.6K - $103K a year	Groton, CTWebsite Wallach Search Group Location: Groton, CT      Security Clearance: US Citizen/Clearable      We are seeking Mechanical Design Engineers for supporting several engineering projects and programs across our company.  Successful applicants will be highly motivated, innovative, self-starters with strong mechanical, technical, and problem-solving skills, and will have earned a BS/MS/PhD in Mechanical Engineering or a closely related degree. We work on exciting, technically challenging, research & development programs where multidisciplinary teams work closely to address difficult national security needs.  This position will allow applicants to collaborate with subject matter experts and make meaningful contributions to project teams and their objectives.  It will give applicants exposure to all parts of the R&D process, from first-principle analysis through to prototyping and testing of integrated systems. This position will be responsible for supporting senior engineers with a variety of engineering tasks from design and development to assembly and testing of complex electromechanical systems.  A solid working knowledge of CAD software (e.g. SolidWorks) is required as well as standard office software skills (e.g. Microsoft Office).  A basic understanding of shop tools is desirable.  A successful applicant will possess good technical, problem solving, and communication skills, and they will be mentored by a professional engineer. Tasking may include:Design, analysis, and engineering of advanced prototype systemsFabrication, assembly and laboratory testing of systemsTravel opportunities to help test equipment in the field Required Attributes and Skills:Experience with 3D CAD SoftwareFundamental knowledge of materials, strengths, and statics analysisUtilization of mechanical engineering principals to design mechanical elementsAbility to perform preliminary FEA on mechanical designsGeneral knowledge of mechanical hardware and common systems (gears, shafts, fasteners, etc.)Ability to read and create mechanical fabrication drawingsProficient with Microsoft Office suite Desired Attributes and Skills:Knowledge of engineering calculation tools (Mathcad, MATLAB, etc.)Basic understanding of geometric dimensioning and tolerancing practicesExperience with 3D printing technologies and softwareExperience with microcontrollers (i.e., Arduino, Basic Stamp, Raspberry Pi)Knowledge of software programming languages (e.g. JAVA, C#, C++, Python) Acoustics and dynamics (rotation actuating or rotating machinery) a plus. Ocean based experience a plusEmail Your Resume
LSI, Inc.	MECHANICAL ENGINEER I	Jacksonville, FL 32201 (Hyde Park area)	FEA	ENTRY_LEVEL	Estimated $67.7K - $85.8K a year	About LSILSI is an employee-owned company and employs dynamic teams of professionals – people with the finest technical expertise, a level of passionate creativity, and a truly visionary outlook who deliver innovative training solutions that exceed our customer’s expectations. Everyone at LSI has a personal stake in our success. LSI has over 400 training and training support experts, engineers, and craftsmen on staff who develop state-of-the-art high-fidelity training devices, complex computer-based, highly interactive distributed learning products, and comprehensive, dynamic technical publications. LSI employee-owners collaborate to deliver training products and services for a myriad of programs and customers, using leading edge technology and proven processes.Apply: https://www.lsijax.com/careers/Summary:   The Mechanical Engineer I is an entry level position that performs and assists in full lifecycle product development. Also assists in the creation of production drawings, checking designs to ensure they meet requirements set by customers and our own internal standards as well as provides technical guidance to manufacturing.  Essential Job Functions:Perform and assist in full lifecycle product development (design, develop, test prototypes, manufacture, and implement).Design systems and components that meet needs and requirements and ensures all designs meet both internal and external customer requirements and design standards.Conduct experiments methodically, analyze data, and interpret results.Test and evaluate theoretical designs.Evaluate final product's overall performance, reliability, and safety.Alter and modify design to meet requirements and eliminate malfunctions.Prepare product reports and documentation.Troubleshoot mechanical discrepancies on trainers and/or aircraft as required.Assist in creating production drawings for machined parts, sheet metal fabrication, and mechanical sub-assemblies.Assist in the development of process improvement programs to reduce development time, improve product quality and manufacturability, and reduce product cost.Recommend design approaches to meet production requirements for new or improved products or processes.Must be capable of safely handling government furnished equipment and materials.Must be available to work a standard weekly schedule with overtime as required.Perform other duties as assigned.  Job Requirements  Knowledge, Skills, and Abilities:Must have a working knowledge of AutoCAD and/or Solid Works.Develop knowledge of ASME Yl4.100-2000 & Y l4.5-1994 drawings.Develop knowledge of Product Data Management (PDM), Product Lifecycle Management (PLM).Must have working knowledge of Finite Element Analysis (FEA).Understanding of core concepts including mechanics, kinematics, thermodynamics, materials science, etc.Develop knowledge of various fabrication and assembly including metal machining, sheet metal fabrication, and welding.Develop knowledge of industry and military specifications for materials, parts, and processes preferred.Develop creativity, innovation, commitment to excellence with the ability to work in a diverse and fast paced environment.Must work well in a team environment.Must be able to travel.Must follow direction from mentor or lead.Must follow company standards and applicable industry standards.Must be able to obtain security clearance if required by the contract.Education and Experience:Bachelor's degree in Mechanical Engineering or Bachelor of Science in Engineering,Engineering Technology, or Aerospace Engineering with applicable specialty (i.e. mechanical or design.)Prior military with aviation maintenance experience a plus.Experience with Microsoft Office Suite, including Word, Excel, PowerPoint required. Knowledge of Microsoft Project preferred.
Hill International, Inc	Mechanical Engineer	West Mifflin, PA	FEA	ENTRY_LEVEL	Estimated $74.2K - $94K a year	Hill International is seeking a Mechanical Engineer in West Mifflin, Pennsylvania,Perform structural analysis of radiological cargo and/or shipping containers which contain radiological cargo. Structural analysis will include both hand calculations as well as finite element analysis to model fuel and container structural performance during a hypothetical accident event, including elastic-plastic analysis. Engineer will support engineering and business activities of the Shipping Containers organization, including but not limited to performing engineering evaluations and generating written technical reports.Minimum four year BS degree in engineering Microsoft Office Advanced Structural Analysis Static and Dynamic Finite Element Analysis Abaqus/Standard and Abaqus/Explicit or other similar FEA software Elastic-Plastic Structural Analysis Technical writing Familiarity with radiological material shipping containers and/or Safety Analysis Reports for Packaging (SARPs) Familiarity with 10CFR71 Full Covid-19 vaccination is recommended. Mandatory vaccinations and proof of vaccination are subject to client requirements, federal, state or local lawHill International, with more than 3,200 professionals in over 100 offices worldwide, provides program management, project management, construction management, project management oversight, dispute resolution, advisory, facilities management, and other consulting services to clients in a variety of market sectors. Engineering News-Record magazine recently ranked Hill as one of the largest construction management firms in the United States. For more information on Hill, please visit our website at www.hillintl.com . Hill is exclusively a program, project, and construction management provider, meaning we have one focus as a company: protecting client interests. Free of any potential conflicts, our entire business is geared towards helping clients achieve their desired outcomes. We are dedicated to exceeding expectations throughout the entire construction project lifecycle and adapt to the needs of each assignment to develop tailored approaches and solutions to meet those needs. Hill is a proud member of the Global Infrastructure Solutions, Inc. family of companies. Learn more about GISI at www.gisi.com . Hill International is an Equal Opportunity Employer/Minority/Female/Veteran/Disabled   Note : This job description is intended to provide an indication of the nature and levels of work, knowledge, skills, abilities and other essential functions to be carried out as part of fulfilling the role mentioned in the job title. Various other duties as required.  IER Right to Work Poster   E-Verify Participation Poster 
Axiom Space	Mechanical Engineer, Structures & Mechanisms	Webster, TX 77598	FEA	ENTRY_LEVEL	Estimated $87.2K - $110K a year	Axiom Space is building for beyond, guided by the vision of a thriving home in space that benefits every human, everywhere. The leading provider of human spaceflight services and developer of human-rated space infrastructure, Axiom Space operates end-to-end missions to the International Space Station today while developing its successor, Axiom Station – a permanent commercial destination in low-Earth orbit that will sustain human growth off the planet and bring untold benefits back home. Axiom Space fosters a diverse environment inclusive of all perspectives. We are the pioneers of commercial space, leading the transformation of low-Earth orbit into a global space marketplace. Our mission-driven team is seeking a bold and dynamic Mechanical Engineer who is fueled by problem-solving, continuously curious, and driven to understand our world, science/technology, and life itself, for the benefit of all on Earth and beyond. DUTIES & RESPONSIBILITIESOwn all aspects of the design, development, test, and evaluation of the structural and mechanical components that make up the commercial space station systems.Execute the engineering product lifecycle, holding regular design review.Develop requirements and design criteria.Perform analysis on designs through free-body diagrams, hand calculations, FEA, and CAD.Deliver high-quality models and drawings in a fast-paced environment.Oversee manufacturing and assembly of hardware.Accountable for your designs, calculations, analysis, and results.Present findings and respond to questions from groups of managers, clients, and customers.Systematically document progress, capture knowledge, and maintain an engineering notebook.Perform other duties as assigned. QUALIFICATIONS: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Education & ExperienceBachelor’s degree in aerospace engineering, mechanical engineering, or related field required.1-2 years of experience in structural or mechanical engineering, or similar role or combined equivalent.Experience with SOLIDWORKS 3D modeling software or similar computer aided design tool.Experience with PDM software such as SolidWorks Product Data Management (PDM) or similar.Experience with FEA software packages.Experience creating engineering drawings and dimensioning and tolerancing per ASME Y-14.Spaceflight hardware design background preferred.Experience with Atlassian suite preferred. Essential Functions Work Environment: Generally, an office environment, but can involve inside or outside work depending on the task. RequirementsMust be able to complete a U.S. government background investigation.Management has the prerogative to select at any level for which the position is advertised.Proof of U.S. Citizenship or US Permanent Residency is a requirement for this position. Physical Requirements Work may involve sitting or standing for extended periods (90% of the time). May require lifting and carrying up to 25 lbs. (5% of the time).Equipment and MachinesStandard office equipment (PC, telephone, printer, etc.). SkillsExcellent interpersonal skillExcellent communication skill, verbal and writtenExcellent organizational skillsResult oriented personality with a creative approach to problem solvingAbility to work in a team environmentSelf-motivated Competencies: To perform the job successfully, an individual should demonstrate the following competencies:Ethics - Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and principles; upholds organizational valuesProblem Solving - Identifies and resolves problems in a timely manner; gathers and analyzes information skillfully; develops alternative solutions; works well in group problem solving situations; uses reason even when dealing with emotional topicsOrganizational Support - Follows policies and procedures; completes administrative tasks correctly and on time; supports organization's goals and values; benefits organization through outside activities; supports affirmative action and respects diversityCommunications - Expresses ideas and thoughts verbally; expresses ideas and thoughts in written form; exhibits good listening and comprehension; keeps others adequately informed; selects and uses appropriate communication methodsCost Consciousness - Works within approved budget; develops and implements cost saving measures; contributes to profits and revenue; conserves organizational resourcesTeamwork - Eager and able to work in a collaborative and cross-disciplinary fashion in a fast-paced, dynamic, and deadline-oriented environment Axiom Space is proud to be an equal opportunity employer. Axiom Space does not discriminate on the basis of race, regional color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with disability, or other applicable legally protected characteristics.
Simmers Crane Design & Services	Mechanical Project Engineer	Crestwood, IL	FEA	ENTRY_LEVEL	NA	Date Posted:    07/12/2023   Location:    Crestwood, IL   Job Category:    ATS Profile   Salary Interval:    Salary Exempt   Pay Range:    N/A   Application InstructionsExperience a greater sense of accomplishment and gain valuable skills that are growing in demand. Receive greater recognition and earn more for your hard work. Due to continued growth, Simmers Crane Design & Services, A Flatiron Crane Operating Company is looking for a Mechanical Project Engineer to join their highly skilled team. Feel a great sense of pride and ownership as you are seen as the expert that helps keep businesses running. As a valued team member, you will enjoy:Excellent compensation ($28.00 - $38.00/hour, commensurate with experience) Stability - Simmers has been around for 60 years and many of their engineers have been with the company for 15 to 30 years.Great benefit package that includes medical, supplemental dental and 401(k)Paid vacation and sick leaveCompany provided cell phone Upon receipt of an offer of employment, candidates must satisfactorily complete the required drug screen, physical, and background checksPosition DescriptionJob Responsibilities: Have a fundamental understanding of engineering concepts, machine design, and stress and strain analysis calculations. Conform to all applicable design specifications and maintain detailed records. Detailing and designing systems, layouts, and repair procedures. Ability to collect data using micrometers, calipers, and measuring tape and data analysis. Coordinate with sales team to propose work. Coordinate and manage project from start to finish. Direct and supervise subcontractors and technicians to complete projects. Planning and preparation of material orders and delivery. Maintain deadlines and budgets to demands of the customer. Abide by safety policies of Simmers Crane Design & Services, the customer, and OSHA standards. Prepare documentation such as invoicing and project closeout. Act individually and in a group environment. React in a timely manner to problem solve in stressful situations. Must be safety conscious for both themselves and for others.Position RequirementsQualifications: Bachelor’s degree in Mechanical Engineering or pursuing a bachelor’s degree in Mechanical Engineering. Full time position available or internship for Junior or Senior standing students. Preferred knowledge of AutoCAD and FEA software (Finite Element Analysis). Strong technical knowledge and computer literate; Microsoft Word, Excel, Outlook. Strong communication and customer service skills. Candidate must be pro-active, punctual, and reliable. Critical thinking, decision making, and executing corrective actions are all requirements for the position. Must have the ability to work in an office environment as well as in the field. Must be able to respond to emergency calls. Travel Required. Ability to work inside, outside in all types of weather, and work from heights.Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to the individual's race, color, sex, national origin, religion, age, disability, genetic information, status as a military veteran or any other characteristic protected by applicable law.
