job title,agency,department,location,salary,search_keyword
ENVIRONMENTAL ENGINEER,U.S. Marine Corps,Department of the Navy,"Camp Lejeune, North Carolina
                    Camp Lejeune, North Carolina","Starting at $46,696 Per Year (GS 7-9)",Data Engineer
Engineering Technician,U.S. Army Corps of Engineers,Department of the Army,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $75,833 Per Year (GS 11-12)",Data Engineer
Supervisory Interdisciplinary (Engineer/ Architect),U.S. Army Corps of Engineers,Department of the Army,"Buffalo, New York
                    Buffalo, New York","Starting at $102,597 Per Year (GS 13)",Data Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Naval Base Newport, Rhode Island
                    Naval Base Newport, Rhode Island","Starting at $77,738 Per Year (ND 4)",Data Engineer
ENGINEER OR SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Naval Base Newport, Rhode Island
                    Naval Base Newport, Rhode Island","Starting at $77,738 Per Year (ND 4)",Data Engineer
SUPERVISORY NUCLEAR ENGINEER,U.S. Pacific Fleet,Department of the Navy,"Pearl Harbor Naval Base, Oahu, Hawaii
                    Pearl Harbor Naval Base, Oahu, Hawaii","Starting at $121,059 Per Year (GS 14)",Data Engineer
"General Engineer, AST, Aerospace Environmental Control Techniques (Direct Hire)",George C. Marshall Space Flight Center,National Aeronautics and Space Administration,"Huntsville, Alabama
                    Huntsville, Alabama","Starting at $86,001 Per Year (GS 12-13)",Data Engineer
SUBMARINE PRODUCTION MANAGER,United States Fleet Forces Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $99,714 Per Year (GS 13)",Product Manager
PRODUCTION WORKFORCE MANAGER (SHOP),U.S. Pacific Fleet,Department of the Navy,"Bremerton, Washington
                    Bremerton, Washington","Starting at $92,123 Per Year (GS 12)",Product Manager
Chemical Defense Production Manager,U.S. Army Joint Munitions Command,Department of the Army,"Pine Bluff Arsenal, Arkansas
                    Pine Bluff Arsenal, Arkansas","Starting at $82,830 Per Year (GS 12)",Product Manager
LEAD ACQUISITION PROGRAM MANAGER-DIRECT HIRING AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Tinker AFB, Oklahoma
                    Tinker AFB, Oklahoma","Starting at $116,393 Per Year (NH 4)",Product Manager
Depot Production Manager (Aviation System Operations),U.S. Army Aviation and Missile Command,Department of the Army,"Corpus Christi, Texas
                    Corpus Christi, Texas","Starting at $99,003 Per Year (GS 13)",Product Manager
General Supply Specialist,U.S. Army Joint Munitions Command,Department of the Army,"McAlester, Oklahoma
                    McAlester, Oklahoma","Starting at $57,118 Per Year (GS 9)",Product Manager
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Product Manager
IT Specialist (SYSANALYSIS),Office of Administration,Executive Office of the President,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
Physical Scientist/General Engineer (Interdisciplinary),U.S. Mint,Department of the Treasury,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $90,893 Per Year (GS 12-14)",Product Manager
Systems Integrator,U.S. Army Acquisition Support Center,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (NH 4)",Product Manager
INTERDISCIPLINARY ENGINEER/ARCHITECT/COMMUNITY PLANNER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Facilities Engineering Command, Atlantic, Virginia
                    Naval Facilities Engineering Command, Atlantic, Virginia","Starting at $83,854 Per Year (GS 12-13)",Product Manager
International Trade and Finance Specialist,Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $99,908 Per Year (GS 14)",Product Manager
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Product Manager
Social Worker - Program Manager - Mental Health Service Chief,Veterans Health Administration,Department of Veterans Affairs,"Columbia, Missouri
                    Columbia, Missouri","Starting at $127,702 Per Year (GS 14)",Product Manager
ADMINISTRATIVE/TECHNICAL SPECIALIST,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $83,854 Per Year (NT 5)",Product Manager
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Product Manager
Experience Specialist,U.S. Marine Corps,Department of the Navy,"Quantico, Virginia
                    Quantico, Virginia",Starting at $16 Per Hour (NF 02),Product Manager
International Trade and Finance Specialist,Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $99,908 Per Year (GS 14)",Product Manager
EXPERIENCE SPECIALIST (NORTHSIDE MARINE MART SHIFT LEAD) NF-02 RFT (LOCAL COMMUTING AREA ONLY),U.S. Marine Corps,Department of the Navy,"Iwakuni, Japan
                    Iwakuni, Japan",Starting at $17 Per Hour (NF 02),Product Manager
Sales Specialist,U.S. Marine Corps,Department of the Navy,"Quantico, Virginia
                    Quantico, Virginia",Starting at $16 Per Hour (NF 02),Product Manager
Factory Manager (Factory Manager Trainee-UNICOR),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Lompoc, California
                    Lompoc, California","Starting at $80,015 Per Year (GL 11)",Product Manager
SENIOR SALES ASSOCIATE NF2 - HIRING EVENT AT PACIFIC VIEWS MCX,U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $18.61 Per Hour (NF 02),Product Manager
RETAIL SALES SPECIALIST NF2,U.S. Marine Corps,Department of the Navy,"Beaufort, South Carolina
                    Beaufort, South Carolina",Starting at $16.65 Per Hour (NF 02),Product Manager
GENERAL ENGINEER,United States Army Futures Command,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (DB 4)",Product Manager
Interdisciplinary Project Manager - Direct Hire,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Product Manager
Civil Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $109,019 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER T32,Air National Guard Units,Department of the Air Force,"Phoenix, Arizona
                    Phoenix, Arizona","Starting at $86,343 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $86,343 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Sausalito, California
                    Sausalito, California","Starting at $85,508 Per Year (GS 11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"Rock Island, Illinois
                    Rock Island, Illinois","Starting at $47,381 Per Year (GS 7-12)",Civil Engineer
Civil Engineer,Bureau of Land Management,Department of the Interior,"Medford, Oregon
                    Medford, Oregon","Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer,Federal Aviation Administration,Department of Transportation,"Fort Worth, Texas
                    Fort Worth, Texas","Starting at $90,892 Per Year (FV I)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Klamath Falls, Oregon
                    Klamath Falls, Oregon","Starting at $97,169 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Pacific Air Forces,Department of the Air Force,"Elmendorf AFB, Alaska
                    Elmendorf AFB, Alaska","Starting at $85,806 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Land Management,Department of the Interior,"Vale, Oregon
                    Vale, Oregon","Starting at $37,696 Per Year (GS 5-9)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $72,185 Per Year (GS 11)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $72,185 Per Year (GS 11)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Wilmington, North Carolina
                    Wilmington, North Carolina","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Elmendorf AFB, Alaska
                    Elmendorf AFB, Alaska","Starting at $64,660 Per Year (GS 7-11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"San Francisco, California
                    San Francisco, California","Starting at $85,508 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Albuquerque, New Mexico
                    Albuquerque, New Mexico","Starting at $66,802 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,Multiple Locations,"Starting at $53,937 Per Year (GS 5-9)",Civil Engineer
CIVIL ENGINEER,Air Force Civilian Career Training,Department of the Air Force,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $98,859 Per Year (GS 11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $90,893 Per Year (GS 12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
General Engineer - Direct Hire,Department of Transportation - Agency Wide,Department of Transportation,"Location Negotiable After Selection,","Starting at $46,696 Per Year (GS 07-09)",Data Engineer
MECHANICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Data Engineer
ELECTRICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
ELECTRICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $52,106 Per Year (GS 7-9)",Data Engineer
Mechanical Engineer (Energy/Economic Analysis),Army Installation Management Command,Department of the Army,"Fort Sill, Oklahoma
                    Fort Sill, Oklahoma","Starting at $42,068 Per Year (GS 5-12)",Data Engineer
"Civil Engineer (Structural/Bridge Programs Engineer) - P/T, Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only)",Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Data Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
TECHNICAL PROJECT MANAGER,Naval Sea Systems Command,Department of the Navy,"Corona, California
                    Corona, California","Starting at $114,044 Per Year (ND 5)",Data Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
MECHANICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
SUPERVISORY GENERAL ENGINEER,STRATEGIC SYSTEMS PROGRAMS (SSP),Department of the Navy,"Pittsfield, Massachusetts
                    Pittsfield, Massachusetts","Starting at $119,340 Per Year (NH 4)",Data Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
Civil Engineer (Structural/Bridge Safety Engineer) - Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only),Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Engineer
Supervisory Healthcare Engineer (Project Development),Veterans Health Administration,Department of Veterans Affairs,"Palo Alto, California
                    Palo Alto, California","Starting at $164,865 Per Year (GS 13)",Data Engineer
Electrical Engineer (Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electrical Engineer (Non-Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electronics Engineer (Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electronics Engineer (Non-Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electrical Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Data Engineer
COST ESTIMATOR/ANALYST (INTERDISCIPLINARY),STRATEGIC SYSTEMS PROGRAMS (SSP),Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $94,199 Per Year (NH 3)",Data Engineer
Electrical Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Data Engineer
Engineer,Air Force Materiel Command,Department of the Air Force,Multiple Locations,"Starting at $52,106 Per Year (GS 7-9)",Data Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Dahlgren, Virginia
                    Dahlgren, Virginia","Starting at $38,317 Per Year (ND 2-4)",Data Engineer
Supervisory Healthcare Engineer (Projects Engineer),Veterans Health Administration,Department of Veterans Affairs,Multiple Locations,"Starting at $115,118 Per Year (GS 13)",Data Engineer
Civil Engineer,Forest Service,Department of Agriculture,"Location Negotiable After Selection,","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $57,118 Per Year (GS 9-11)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"West Palm Beach, Florida
                    West Palm Beach, Florida","Starting at $73,639 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Pittsburgh, Pennsylvania
                    Pittsburgh, Pennsylvania","Starting at $71,402 Per Year (GS 11-12)",Civil Engineer
Civil Engineer - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Rapid City, South Dakota
                    Rapid City, South Dakota","Starting at $66,802 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Huntington, West Virginia
                    Huntington, West Virginia","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $63,734 Per Year (GS 9-11)",Civil Engineer
Civil Engineer,Federal Emergency Management Agency,Department of Homeland Security,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $75,833 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER (T32),Air National Guard Units,Department of the Air Force,"Birmingham, Alabama
                    Birmingham, Alabama","Starting at $83,477 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Memphis, Tennessee
                    Memphis, Tennessee","Starting at $52,106 Per Year (GS 7-12)",Civil Engineer
CIVIL (STRUCTURAL) ENGINEER,Pacific Air Forces,Department of the Air Force,"Yokota Air Base, Japan
                    Yokota Air Base, Japan","Starting at $73,469 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER (STRUCTURAL),U.S. Army Corps of Engineers,Department of the Army,"Little Rock, Arkansas
                    Little Rock, Arkansas","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
Civil Engineer/Agricultural Engineer,Natural Resources Conservation Service,Department of Agriculture,"Waynesville, North Carolina
                    Waynesville, North Carolina","Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer (Geo-Technical),U.S. Army Corps of Engineers,Department of the Army,"Norfolk, Virginia
                    Norfolk, Virginia","Starting at $52,106 Per Year (GS 7-12)",Civil Engineer
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"China Lake, California
                    China Lake, California","Starting at $80,015 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Station Complex, San Diego, California
                    Naval Station Complex, San Diego, California","Starting at $93,858 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,Multiple Locations,"Starting at $83,854 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $83,854 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Little Creek Amphibious Base, Virginia
                    Little Creek Amphibious Base, Virginia","Starting at $83,854 Per Year (GS 12)",Civil Engineer
Civil Engineer,Federal Emergency Management Agency,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Civil Engineer
SUPERVISORY FACILITY/INFRASTRUCTURE ENGINEER - DIRECT HIRE AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Hanscom AFB, Massachusetts
                    Hanscom AFB, Massachusetts","Starting at $130,929 Per Year (NH 4)",Civil Engineer
Civil Engineer (Highway) Design - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Vancouver, Washington
                    Vancouver, Washington","Starting at $74,137 Per Year (GS 11-12)",Civil Engineer
"OPERATIONS ASSOCIATE, NF-2",U.S. Marine Corps,Department of the Navy,"Marine Corps Air Station Miramar, California
                    Marine Corps Air Station Miramar, California",Starting at $19.56 Per Hour (NF 02),Product Manager
OPS ASSOC NF2*,U.S. Marine Corps,Department of the Navy,"Havelock, North Carolina
                    Havelock, North Carolina",Starting at $16 Per Hour (NF 02),Product Manager
Equipment Specialist (Fire),Forest Service,Department of Agriculture,"San Dimas, California
                    San Dimas, California","Starting at $54,067 Per Year (GS 7-9)",Product Manager
Quality Assurance Specialist,"Executive Director, Office of Acquisition and Logistics",Department of Veterans Affairs,"Golden, Colorado
                    Golden, Colorado","Starting at $51,726 Per Year (GS 7-9)",Product Manager
EXPERIENCE SPECIALIST NF-2 NORTHERN LOCATIONS- $150 HIRING BONUS,U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $19.11 Per Hour (NF 02),Product Manager
Interdisciplinary Project Manager,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Product Manager
Supervisory Digital Services Manager,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 1)",Product Manager
SUPERVISORY MINERALS REVENUE SPECIALIST,Office of the Secretary of the Interior,Department of the Interior,"Location Negotiable After Selection,","Starting at $116,393 Per Year (GS 14)",Product Manager
Civil Engineer (Project Manager),U.S. Army Corps of Engineers,Department of the Army,"Concord, Massachusetts
                    Concord, Massachusetts","Starting at $130,929 Per Year (GS 14)",Product Manager
Criminal Investigator,Food and Drug Administration,Department of Health and Human Services,Multiple Locations,"Starting at $59,319 Per Year (GS 11)",Product Manager
SUPV IT SPECIALIST (INFOSEC),Naval Sea Systems Command,Department of the Navy,"Naval Base Newport, Rhode Island
                    Naval Base Newport, Rhode Island","Starting at $93,175 Per Year (NT 5)",Product Manager
IT Project Manager,Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $84,546 Per Year (GS 13)",Product Manager
Meteorologist,National Oceanic and Atmospheric Administration,Department of Commerce,"College Park, Maryland
                    College Park, Maryland","Starting at $112,015 Per Year (GS 13)",Product Manager
Nutritionist,Agricultural Marketing Service,Department of Agriculture,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Product Manager
Chemist (Senior Material Program Manager-Interdisciplinary),Bureau of Engraving and Printing,Department of the Treasury,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Product Manager
Digital Business Analyst (12 Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $111,521 Per Year (GS 14)",Product Manager
Intelligence Specialist (ICD),United States Army Futures Command,Department of the Army,"Fort Huachuca, Arizona
                    Fort Huachuca, Arizona","Starting at $100,102 Per Year (GG 13)",Product Manager
Clinical Laboratory Scientist (Medical Technologist),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $52,921 Per Year (GL 07-09)",Product Manager
Program Analyst (Cybersecurity),Administrative Office of the U.S. Courts,Judicial Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (AD 00)",Product Manager
"Naval Architect, GS-0871-14, NTE - 12/31/27",U.S. Coast Guard,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
MWR Sales Clerk Lead (Starbucks),"Commander, Navy Installations",Department of the Navy,"San Diego, California
                    San Diego, California","Starting at $40,817 Per Year (NF 2)",Product Manager
Pharmacy Technician,Veterans Health Administration,Department of Veterans Affairs,"Syracuse, New York
                    Syracuse, New York","Starting at $39,582 Per Year (GS 00)",Product Manager
General Engineer (Project Manager),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Product Manager
PROGRAM ANALYST,U.S. Army Acquisition Support Center,Department of the Army,"Warren, Michigan
                    Warren, Michigan","Starting at $91,270 Per Year (NH 3)",Product Manager
Director of Retail,Architect of the Capitol,Legislative Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Business Center, Philadelphia, Pennsylvania
                    Naval Business Center, Philadelphia, Pennsylvania","Starting at $108,084 Per Year (GS 13)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $99,714 Per Year (GS 13)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Wilmington, North Carolina
                    Wilmington, North Carolina","Starting at $89,266 Per Year (GS 12)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $46,696 Per Year (GS 7-11)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $9,419 Per Year (GS 12-13)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"San Francisco, California
                    San Francisco, California","Starting at $85,508 Per Year (GS 11-12)",Civil Engineer
