job title,agency,department,location,salary,search_keyword,extracted_salary
Management and Program Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst,57118
FINANCIAL MANAGEMENT ANALYST,Air National Guard Units,Department of the Air Force,"Port Hueneme, California
                    Port Hueneme, California","Starting at $80,015 Per Year (GS 11)",Business Analyst,80015
Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst,57118
INFORMATION TECHNOLOGY SPECIALIST (APPLICATION SOFTWARE),U.S. Army Communications Electronics Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (NH 3)",Business Analyst,94199
Program Analyst,Government Publishing Office,Legislative Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (PG 14)",Business Analyst,132368
Operations Research Analyst (12-Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $102,622 Per Year (GS 13)",Business Analyst,102622
Management And Program Assistant OA,Internal Revenue Service,Department of the Treasury,"Los Angeles, California
                    Los Angeles, California","Starting at $48,655 Per Year (GS 6-7)",Business Analyst,48655
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Management & Program Analyst (Facility Planner),Veterans Health Administration,Department of Veterans Affairs,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Management & Program Analyst (Facility Planner),Veterans Health Administration,Department of Veterans Affairs,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $69,107 Per Year (GS 11-13)",Business Analyst,69107
Public Notice for Financial Specialist/Analyst (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $43,544 Per Year (FV F-K)",Business Analyst,43544
Competent Authority Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $129,671 Per Year (GS 14)",Business Analyst,129671
Operations Research Analyst (12 Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
IT CYBERSECURITY/SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,Department of Defense,Multiple Locations,"Starting at $40,082 Per Year (GG 7-12)",Business Analyst,40082
IT CYBERSECURITY/ SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,Department of Defense,Multiple Locations,"Starting at $84,546 Per Year (GG 13)",Business Analyst,84546
Management and Program Clerk and Assistant,Internal Revenue Service,Department of the Treasury,"Andover, Massachusetts
                    Andover, Massachusetts","Starting at $47,270 Per Year (GS 6-7)",Business Analyst,47270
Management and Program Assistant,Internal Revenue Service,Department of the Treasury,"Atlanta, Georgia
                    Atlanta, Georgia","Starting at $44,373 Per Year (GS 6-7)",Business Analyst,44373
Management and Program Analyst (Office Automation),Internal Revenue Service,Department of the Treasury,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $43,894 Per Year (GS 6-7)",Business Analyst,43894
Management & Program Assistant (Office Automation),Internal Revenue Service,Department of the Treasury,"Kansas City, Missouri
                    Kansas City, Missouri","Starting at $47,369 Per Year (GS 7)",Business Analyst,47369
Supervisory Procurement Analyst,Bureau of Reclamation,Department of the Interior,Multiple Locations,"Starting at $100,407 Per Year (GS 13)",Business Analyst,100407
Management and Program Assistant (12 MONTH REGISTER),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $37,696 Per Year (GS 5-7)",Business Analyst,37696
Management and Program Assistant (12 MONTH ROSTER) AMENDED,Internal Revenue Service,Department of the Treasury,IRS Nationwide Locations,"Starting at $37,696 Per Year (GS 5-7)",Business Analyst,37696
Management and Program Analyst,Defense Logistics Agency,Department of Defense,"Battle Creek, Michigan
                    Battle Creek, Michigan","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
PROJECT DIRECTOR,U.S. Marine Corps,Department of the Navy,"Albany Marine Corps Logistics Base, Georgia
                    Albany Marine Corps Logistics Base, Georgia","Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Procurement Analyst,U.S. Army Contracting Command,Department of the Army,"Anniston, Alabama
                    Anniston, Alabama","Starting at $83,477 Per Year (GS 12)",Business Analyst,83477
Program Analyst,Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Business Analyst,116393
"Supervisory Management and Program Analyst, GS-0343-15 (0343)",U.S. Coast Guard,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $155,700 Per Year (GS 15)",Business Analyst,155700
Management and Program Assistant (Office Automation) 12 MONTH ROSTER,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $42,022 Per Year (GS 6)",Business Analyst,42022
Management and Program Assistant (Office Automation),Internal Revenue Service,Department of the Treasury,"Oakland, California
                    Oakland, California","Starting at $42,022 Per Year (GS 6)",Business Analyst,42022
Competent Authority Analyst 12 Month Register,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $122,907 Per Year (GS 14)",Business Analyst,122907
Amended - Contract Support Specialist (Contracting Officer's Repr. (COR)) (12-Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
AMENDED- Management and Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Business Analyst,116393
Human Resources Analyst,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $75,782 Per Year (GS 9-13)",Business Analyst,75782
Procurement Analyst,Western Area Power Administration,Department of Energy,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Financial Analyst,Defense Logistics Agency,Department of Defense,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $132,368 Per Year (GS 14)",Business Analyst,132368
Management and Program Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst,46696
IT Specialist (Data Management),National Institute of Standards and Technology,Department of Commerce,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (ZP 4)",Business Analyst,98496
Management and Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-12)",Business Analyst,57118
Budget Analyst,Department of Energy - Agency Wide,Department of Energy,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Pathways Student Trainee - Loan Assistant/Specialist,"Agriculture, Rural Development",Department of Agriculture,"Marianna, Florida
                    Marianna, Florida","Starting at $33,906 Per Year (GS 3-4)",Business Analyst,33906
Management and Program Assistant (Office Automation) 12 Month Roster - Amended,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $36,118 Per Year (GS 5-6)",Business Analyst,36118
AMENDED Management and Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst,46696
Management Analyst,Administrative Office of the U.S. Courts,Judicial Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (AD 00)",Business Analyst,78592
Management and Program Analyst (12 MONTHS ROSTER) Amended,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7-12)",Business Analyst,46696
Management and Program Assistant (OA),Internal Revenue Service,Department of the Treasury,"Bloomington, Illinois
                    Bloomington, Illinois","Starting at $37,696 Per Year (GS 5-7)",Business Analyst,37696
Information Technology Specialist (System Analyst),"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Department of Justice,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $132,368 Per Year (GS 14)",Business Analyst,132368
Information Technology Specialist (Systems Analyst),"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Department of Justice,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $132,368 Per Year (GS 14)",Business Analyst,132368
"Tax Analyst (12 MONTH ROSTER) TEMP NTE 1 YEAR, MBE, MBMP",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $69,107 Per Year (GS 11)",Business Analyst,69107
Management and Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-12)",Business Analyst,57118
Records and Systems Specialist #408,Senate,Legislative Branch,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $58,200 Per Year (AD 00)",Business Analyst,58200
Data Scientist (Data Visualization Analyst) (12-month Roster),Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $116,393 Per Year (GS 14)",Business Analyst,116393
MANAGEMENT AND PROGRAM ANALYST,National Archives and Records Administration,Other Agencies and Independent Organizations,"Spanish Lake, Missouri
                    Spanish Lake, Missouri","Starting at $70,649 Per Year (GS 11-12)",Business Analyst,70649
MANAGEMENT ANALYST,Administration for Children and Families,Department of Health and Human Services,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Business Analyst,132368
Program Analyst (Logistics Modernization Program),U.S. Army Joint Munitions Command,Department of the Army,"Rock Island, Illinois
                    Rock Island, Illinois","Starting at $99,942 Per Year (GS 13)",Business Analyst,99942
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Management Analyst,Veterans Health Administration,Department of Veterans Affairs,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Management And Program Asst (OA),Internal Revenue Service,Department of the Treasury,"Andover, Massachusetts
                    Andover, Massachusetts","Starting at $47,270 Per Year (GS 6)",Business Analyst,47270
Management Analyst,Veterans Health Administration,Department of Veterans Affairs,"Tomah, Wisconsin
                    Tomah, Wisconsin","Starting at $69,107 Per Year (GS 11)",Business Analyst,69107
Contract Support Specialist (Contracting Officer's Representative (COR)) (12-month Roster) (Amended),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Budget Analyst,DHS Headquarters,Department of Homeland Security,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $112,015 Per Year (GS 13)",Business Analyst,112015
Supervisory Public Health Analyst (Regional Director),Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,Multiple Locations,"Starting at $151,657 Per Year (GS 15)",Business Analyst,151657
Supervisory Public Health Analyst (Regional Director),Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,Multiple Locations,"Starting at $151,657 Per Year (GS 15)",Business Analyst,151657
IT Specialist (Customer Support) (12-Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7-12)",Business Analyst,46696
IT Specialist (SYSANLYSIS),Bureau of Safety and Environmental Enforcement,Department of the Interior,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
IT Specialist (SYSANLYSIS),Bureau of Safety and Environmental Enforcement,Department of the Interior,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Management Analyst,National Archives and Records Administration,Other Agencies and Independent Organizations,"Spanish Lake, Missouri
                    Spanish Lake, Missouri","Starting at $58,392 Per Year (GS 9-11)",Business Analyst,58392
Accountant,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Business Analyst,88860
Accountant,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Business Analyst,88860
Financial Management Analyst,Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $57,118 Per Year (GS 9-11)",Business Analyst,57118
Administrative Officer,John F. Kennedy Space Center,National Aeronautics and Space Administration,"Kennedy Space Center, Florida
                    Kennedy Space Center, Florida","Starting at $99,172 Per Year (GS 13)",Business Analyst,99172
Management Analyst (Employee Engagement)-BIL,Federal Railroad Administration,Department of Transportation,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (GS 11-13)",Business Analyst,78592
"Tax Analyst - 12 month Roster NTE, 1 Year",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12-13)",Business Analyst,82830
Management & Program Analyst,Vet Customer Experience (VCE),Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $112,015 Per Year (GS 13)",Business Analyst,112015
MANAGEMENT ANALYST,Army National Guard Units,Department of the Army,"Lakehurst, New Jersey
                    Lakehurst, New Jersey","Starting at $66,757 Per Year (GS 9)",Business Analyst,66757
"Grant and Contract Cost Analyst, GS-1101-09 MP",National Science Foundation,Other Agencies and Independent Organizations,Anywhere in the U.S. (remote job),"Starting at $64,957 Per Year (GS 9)",Business Analyst,64957
Program Analyst,Missile Defense Agency,Department of Defense,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (NH 4)",Business Analyst,120849
PROGRAM ANALYST,Defense Counterintelligence and Security Agency,Department of Defense,Multiple Locations,"Starting at $101,768 Per Year (GG 13)",Business Analyst,101768
IT SPECIALIST (NETWORK) (TITLE 32),Air National Guard Units,Department of the Air Force,"Jefferson Barracks, Missouri
                    Jefferson Barracks, Missouri","Starting at $70,649 Per Year (GS 11)",Business Analyst,70649
"Government Information Specialist (TEMP NTE 1 YEAR, MBE 5 YEARS, MBMP)",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Management and Program Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-12)",Business Analyst,57118
Management and Program Analyst (12 Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-12)",Business Analyst,57118
"Management and Program Analyst (Temp NTE 1 year, MBE, MBMP)",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Business Analyst,69107
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $71,402 Per Year (GS 11-12)",Business Analyst,71402
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Program Analyst (12 month register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-11)",Business Analyst,57118
FINANCIAL MANAGEMENT ANALYST (ACCELERATED HIRE),Army National Guard Units,Department of the Army,"Latham, New York
                    Latham, New York","Starting at $58,564 Per Year (GS 9)",Business Analyst,58564
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $46,696 Per Year (GS 7-9)",Business Analyst,46696
Program Analyst,Assistant Secretary for Housing-Federal Housing Commissioner,Department of Housing and Urban Development,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Program Analyst,Assistant Secretary for Housing-Federal Housing Commissioner,Department of Housing and Urban Development,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Program Analyst (Direct Hire),Federal Transit Administration,Department of Transportation,Multiple Locations,"Starting at $108,084 Per Year (GS 13)",Business Analyst,108084
Program Analyst - DIRECT HIRE,Federal Transit Administration,Department of Transportation,Multiple Locations,"Starting at $118,071 Per Year (GS 14)",Business Analyst,118071
Management and Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Supervisory Program Analyst,Veterans Benefits Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Business Analyst,116393
Tax Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-11)",Business Analyst,57118
Tax Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12-13)",Business Analyst,82830
Tax Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $82,830 Per Year (GS 12-13)",Business Analyst,82830
Support Services Supervisor,Forest Service,Department of Agriculture,"Nemo, South Dakota
                    Nemo, South Dakota","Starting at $42,022 Per Year (GS 6-8)",Business Analyst,42022
Support Services Supervisor,Forest Service,Department of Agriculture,"Moses Lake, Washington
                    Moses Lake, Washington","Starting at $42,022 Per Year (GS 6-8)",Business Analyst,42022
Investigative Analyst,"Justice, Office of the Inspector General",Department of Justice,"Glendale, California
                    Glendale, California","Starting at $95,905 Per Year (GS 12-13)",Business Analyst,95905
Program Analyst,Office of Disability Employment Policy,Department of Labor,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $53,105 Per Year (GS 7)",Business Analyst,53105
Program Analyst,Office of Disability Employment Policy,Department of Labor,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $53,105 Per Year (GS 7)",Business Analyst,53105
Management and Program Analyst,Customs and Border Protection,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Business Analyst,132368
Management & Program Assistant Cadre (NTE 1 Year MBE 2 Years),Internal Revenue Service,Department of the Treasury,"Holtsville, New York
                    Holtsville, New York","Starting at $44,057 Per Year (GS 5-6)",Business Analyst,44057
Competent Authority Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $99,908 Per Year (GS 14)",Business Analyst,99908
Supervisory Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $99,908 Per Year (GS 14)",Business Analyst,99908
Resource Analyst,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $75,782 Per Year (GS 9-13)",Business Analyst,75782
Program Analyst,Missile Defense Agency,Department of Defense,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (NH 4)",Business Analyst,120849
"Management and Program Analyst, GS-0343-9/11",U.S. Coast Guard,Department of Homeland Security,"Honolulu, Hawaii
                    Honolulu, Hawaii","Starting at $59,407 Per Year (GS 09-11)",Business Analyst,59407
"Supervisory Management Analyst, GS-343-14",U.S. Coast Guard,Department of Homeland Security,"Norfolk, Virginia
                    Norfolk, Virginia","Starting at $117,831 Per Year (GS 14)",Business Analyst,117831
Pathways Recent Graduate Program (Budget Analyst -12 Month Roster),Internal Revenue Service,Department of the Treasury,IRS Nationwide Locations,"Starting at $37,696 Per Year (GS 5-9)",Business Analyst,37696
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Internal Revenue Agent - Examiner (Exam Research Analyst) 12 Month Roster AMENDED,Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Program Analyst,Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $78,592 Per Year (GS 11-13)",Business Analyst,78592
