location	values
Tempe, AZ 85282	{'latitude': 33.403229, 'longitude': -111.923357, 'type': 'locality', 'name': 'Tempe', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Tempe', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tempe, AZ, USA'}
Dallas, TX 75201 (Downtown area)	{'latitude': 32.787758, 'longitude': -96.799425, 'type': 'postalcode', 'name': '75201', 'number': None, 'postal_code': '75201', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Dallas', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75201, Dallas, TX, USA'}
Edmonds, WA 98026	{'latitude': 47.832029, 'longitude': -122.363733, 'type': 'locality', 'name': 'Edmonds', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Snohomish County', 'locality': 'Edmonds', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Edmonds, WA, USA'}
Kansas City, MO 64108 (Hospital Hill area)	{'latitude': 39.09973, 'longitude': -94.57857, 'type': 'locality', 'name': 'Kansas City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'Jackson County', 'locality': 'Kansas City', 'administrative_area': 'Kaw Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kansas City, MO, USA'}
Crystal City, VA 22202	{'latitude': 37.73086, 'longitude': -78.376655, 'type': 'region', 'name': 'Virginia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'Virginia', 'region_code': 'VA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Virginia, USA'}
Dallas, TX 75235 (Dallas Love Field area)	{'latitude': 32.845023, 'longitude': -96.849841, 'type': 'venue', 'name': 'Dallas Love Field Airport', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.8, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Dallas', 'administrative_area': None, 'neighbourhood': 'Love Field', 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dallas Love Field Airport, Dallas, TX, USA'}
Jacksonville, FL 32246 (Windy Hill area)	{'latitude': 30.369914, 'longitude': -81.660992, 'type': 'locality', 'name': 'Jacksonville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Duval County', 'locality': 'Jacksonville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Jacksonville, FL, USA'}
Victorville, CA 92395	{'latitude': 34.537027, 'longitude': -117.325168, 'type': 'locality', 'name': 'Victorville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Bernardino County', 'locality': 'Victorville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Victorville, CA, USA'}
Monee, IL	{'latitude': 41.419139, 'longitude': -87.750859, 'type': 'locality', 'name': 'Monee', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Will County', 'locality': 'Monee', 'administrative_area': 'Monee Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Monee, IL, USA'}
Baltimore, MD 21202 (Downtown area)	{'latitude': 43.641576, 'longitude': 16.335422, 'type': 'venue', 'name': '21202 Lećevica', 'number': 'bb', 'postal_code': '21202', 'street': 'Lećevica', 'confidence': 1, 'region': 'Splitsko-dalmatinska', 'region_code': 'SD', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Croatia', 'country_code': 'HRV', 'continent': 'Europe', 'label': '21202 Lećevica, SD, Croatia'}
Salt Lake City, UT 84112 (East Bench area)	{'latitude': 40.765074, 'longitude': -111.841488, 'type': 'postalcode', 'name': '84112', 'number': None, 'postal_code': '84112', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Salt Lake City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84112, Salt Lake City, UT, USA'}
Tamarac, FL 33321	{'latitude': 26.213579, 'longitude': -80.270272, 'type': 'postalcode', 'name': '33321', 'number': None, 'postal_code': '33321', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Broward County', 'locality': 'Tamarac', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33321, Tamarac, FL, USA'}
Chantilly, VA	{'latitude': 38.881733, 'longitude': -77.429047, 'type': 'locality', 'name': 'Chantilly', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Fairfax County', 'locality': 'Chantilly', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chantilly, VA, USA'}
McLean, VA	{'latitude': 38.938043, 'longitude': -77.172078, 'type': 'locality', 'name': 'Mclean', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Fairfax County', 'locality': 'Mclean', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mclean, VA, USA'}
Wallops Island, VA	{'latitude': 37.844039, 'longitude': -75.483391, 'type': 'locality', 'name': 'Wallops Island', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Accomack County', 'locality': 'Wallops Island', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wallops Island, VA, USA'}
Nashville, TN 37203	{'latitude': 36.149775, 'longitude': -86.789146, 'type': 'postalcode', 'name': '37203', 'number': None, 'postal_code': '37203', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37203, Nashville, TN, USA'}
Belmont, CA 94002	{'latitude': 37.511768, 'longitude': -122.298939, 'type': 'locality', 'name': 'Belmont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Mateo County', 'locality': 'Belmont', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Belmont, CA, USA'}
Austin, TX	{'latitude': 30.222346, 'longitude': -97.836521, 'type': 'locality', 'name': 'Austin', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Travis County', 'locality': 'Austin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Austin, TX, USA'}
Oceanside, CA	{'latitude': 33.224992, 'longitude': -117.308423, 'type': 'locality', 'name': 'Oceanside', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'Oceanside', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Oceanside, CA, USA'}
Washington, DC 20423	{'latitude': 38.82652, 'longitude': -77.01712, 'type': 'locality', 'name': 'Washington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'District of Columbia', 'region_code': 'DC', 'county': 'District of Columbia', 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Washington, DC, USA'}
Brentwood, TN 37027	{'latitude': 35.999288, 'longitude': -86.785062, 'type': 'postalcode', 'name': '37027', 'number': None, 'postal_code': '37027', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Williamson County', 'locality': 'Brentwood', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37027, Brentwood, TN, USA'}
Lanham, MD 20706	{'latitude': 38.96835, 'longitude': -76.85108, 'type': 'locality', 'name': 'Lanham-Seabrook', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': "Prince George's County", 'locality': 'Lanham-Seabrook', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lanham-Seabrook, MD, USA'}
Miami, FL 33175	{'latitude': 25.766368, 'longitude': -80.210268, 'type': 'locality', 'name': 'Miami', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Miami', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Miami, FL, USA'}
Falmouth, ME 04105	{'latitude': 43.74255, 'longitude': -70.2718, 'type': 'locality', 'name': 'Town of Falmouth', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maine', 'region_code': 'ME', 'county': 'Cumberland County', 'locality': 'Town of Falmouth', 'administrative_area': 'Falmouth', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Falmouth, ME, USA'}
Houston, TX 77015	{'latitude': 29.784753, 'longitude': -95.361416, 'type': 'locality', 'name': 'Houston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Houston, TX, USA'}
Pasadena, TX 77504	{'latitude': 29.647916, 'longitude': -95.18978, 'type': 'postalcode', 'name': '77504', 'number': None, 'postal_code': '77504', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Pasadena', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77504, Pasadena, TX, USA'}
Concord, NH 03301	{'latitude': 43.238549, 'longitude': -71.555988, 'type': 'postalcode', 'name': '03301', 'number': None, 'postal_code': '03301', 'street': None, 'confidence': 1, 'region': 'New Hampshire', 'region_code': 'NH', 'county': 'Merrimack County', 'locality': 'Concord', 'administrative_area': 'Concord', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '03301, Concord, NH, USA'}
Jacksonville, FL 32257 (Mandarin Station - Losco area)	{'latitude': 10.698531, 'longitude': -61.551991, 'type': 'address', 'name': '74 ALDEC GARDENS FLAT FL', 'number': '74', 'postal_code': None, 'street': 'ALDEC GARDENS FLAT FL', 'confidence': 0.8, 'region': 'Diego Martin', 'region_code': 'DM', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Trinidad and Tobago', 'country_code': 'TTO', 'continent': 'North America', 'label': '74 ALDEC GARDENS FLAT FL, DM, Trinidad and Tobago'}
Chesapeake, VA 23326 (Greenbrier West area)	{'latitude': 44.01702, 'longitude': -100.184486, 'type': 'address', 'name': '23326 299th Ave', 'number': '23326', 'postal_code': '57568', 'street': '299th Ave', 'confidence': 1, 'region': 'South Dakota', 'region_code': 'SD', 'county': 'Lyman County', 'locality': None, 'administrative_area': 'West Lyman', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '23326 299th Ave, West Lyman, SD, USA'}
New York, NY	{'latitude': 40.68295, 'longitude': -73.9708, 'type': 'locality', 'name': 'New York', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New York, NY, USA'}
Memphis, TN 38122 (Raleigh area)	{'latitude': 35.158933, 'longitude': -89.921214, 'type': 'postalcode', 'name': '38122', 'number': None, 'postal_code': '38122', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Shelby County', 'locality': 'Memphis', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '38122, Memphis, TN, USA'}
Provo, UT 84606	{'latitude': 40.21444, 'longitude': -111.625544, 'type': 'postalcode', 'name': '84606', 'number': None, 'postal_code': '84606', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Utah County', 'locality': 'Provo', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84606, Provo, UT, USA'}
San Diego, CA 92103 (Hillcrest area)	{'latitude': 32.749434, 'longitude': -117.150636, 'type': 'venue', 'name': 'Hillcrest Post Office  (92103)', 'number': '3911', 'postal_code': '92103', 'street': 'Cleveland Avenue', 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'San Diego', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hillcrest Post Office  (92103), San Diego, CA, USA'}
San Mateo, CA	{'latitude': 37.562052, 'longitude': -122.308504, 'type': 'locality', 'name': 'San Mateo', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Mateo County', 'locality': 'San Mateo', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Mateo, CA, USA'}
Mounds View, MN 55112	{'latitude': 45.107825, 'longitude': -93.207964, 'type': 'locality', 'name': 'Mounds View', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Ramsey County', 'locality': 'Mounds View', 'administrative_area': 'Mounds View', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mounds View, MN, USA'}
Chesterfield, MO 63017	{'latitude': 38.652933, 'longitude': -90.564291, 'type': 'locality', 'name': 'Chesterfield', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'St. Louis County', 'locality': 'Chesterfield', 'administrative_area': 'Chesterfield Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chesterfield, MO, USA'}
Lenoir, NC 28645	{'latitude': 35.911747, 'longitude': -81.532526, 'type': 'locality', 'name': 'Lenoir', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Caldwell County', 'locality': 'Lenoir', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lenoir, NC, USA'}
Wilson, NC 27893	{'latitude': 35.688948, 'longitude': -77.896676, 'type': 'postalcode', 'name': '27893', 'number': None, 'postal_code': '27893', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wilson County', 'locality': 'Wilson', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '27893, Wilson, NC, USA'}
Jackson, MI	{'latitude': 42.2474, 'longitude': -84.403848, 'type': 'locality', 'name': 'Jackson', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Jackson County', 'locality': 'Jackson', 'administrative_area': 'Jackson', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Jackson, MI, USA'}
Houston, TX 77042 (Westchase area)	{'latitude': 29.741325, 'longitude': -95.560254, 'type': 'postalcode', 'name': '77042', 'number': None, 'postal_code': '77042', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77042, Houston, TX, USA'}
Chantilly, VA 20151	{'latitude': 38.881733, 'longitude': -77.429047, 'type': 'locality', 'name': 'Chantilly', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Fairfax County', 'locality': 'Chantilly', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chantilly, VA, USA'}
Plano, TX 75024	{'latitude': 33.075422, 'longitude': -96.802686, 'type': 'postalcode', 'name': '75024', 'number': None, 'postal_code': '75024', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Collin County', 'locality': 'Plano', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75024, Plano, TX, USA'}
San Antonio, TX 78218	{'latitude': 29.490048, 'longitude': -98.397135, 'type': 'postalcode', 'name': '78218', 'number': None, 'postal_code': '78218', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Bexar County', 'locality': 'San Antonio', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '78218, San Antonio, TX, USA'}
Saint Paul, MN 55128	{'latitude': 44.95304, 'longitude': -93.09013, 'type': 'locality', 'name': 'St. Paul', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Ramsey County', 'locality': 'St. Paul', 'administrative_area': 'St. Paul', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'St. Paul, MN, USA'}
Alpharetta, GA	{'latitude': 34.06179, 'longitude': -84.272531, 'type': 'locality', 'name': 'Alpharetta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Alpharetta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Alpharetta, GA, USA'}
Lansing, MI	{'latitude': 42.706332, 'longitude': -84.550291, 'type': 'locality', 'name': 'Lansing', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Ingham County', 'locality': 'Lansing', 'administrative_area': 'Lansing', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lansing, MI, USA'}
New York, NY 10001 (Hell's Kitchen area)	{'latitude': 40.750634, 'longitude': -73.997176, 'type': 'postalcode', 'name': '10001', 'number': None, 'postal_code': '10001', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10001, New York, NY, USA'}
Parkersburg, WV 26101	{'latitude': 39.275245, 'longitude': -81.54509, 'type': 'locality', 'name': 'Parkersburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'West Virginia', 'region_code': 'WV', 'county': 'Wood County', 'locality': 'Parkersburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Parkersburg, WV, USA'}
Holyoke, MA 01040	{'latitude': 42.202392, 'longitude': -72.645284, 'type': 'locality', 'name': 'Holyoke', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Hampden County', 'locality': 'Holyoke', 'administrative_area': 'Holyoke', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Holyoke, MA, USA'}
New York, NY 10010 (Flatiron area)	{'latitude': 45.765099, 'longitude': 15.9879, 'type': 'venue', 'name': '10010 Zagreb-Sloboština', 'number': '13', 'postal_code': '10010', 'street': 'Ulica Vladimira Varićaka', 'confidence': 1, 'region': 'Grad Zagreb', 'region_code': 'GZ', 'county': None, 'locality': 'Zagreb', 'administrative_area': None, 'neighbourhood': None, 'country': 'Croatia', 'country_code': 'HRV', 'continent': 'Europe', 'label': '10010 Zagreb-Sloboština, Zagreb, GZ, Croatia'}
Seattle, WA 98101 (Downtown area)	{'latitude': 47.610902, 'longitude': -122.336422, 'type': 'postalcode', 'name': '98101', 'number': None, 'postal_code': '98101', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98101, Seattle, WA, USA'}
